,date,date.1,open_apple,high_apple,low_apple,apple_price,apple_adj,volume_apple,divid,split coef,apple,iphone,apple watch,airpods
813,2017-02-14,2017-02-14,133.47,135.09,133.25,135.02,128.8692,33226223.0,0.0,1.0,26.4,29.97,18.96,2.22
812,2017-02-15,2017-02-15,135.52,136.27,134.62,135.51,129.3369,35623100.0,0.0,1.0,26.4,31.08,18.72,1.89
811,2017-02-16,2017-02-16,135.67,135.9,134.8398,135.345,129.1794,22584555.0,0.0,1.0,25.5,28.86,17.52,1.83
810,2017-02-17,2017-02-17,135.1,135.83,135.1,135.72,129.5373,22198197.0,0.0,1.0,25.8,31.08,17.759999999999994,2.13
809,2017-02-21,2017-02-21,136.23,136.75,135.98,136.7,130.4727,24507156.0,0.0,1.0,26.66,33.06,14.07,1.59
808,2017-02-22,2017-02-22,136.43,137.12,136.11,137.11,130.864,20836932.0,0.0,1.0,26.97,33.06,14.28,1.74
807,2017-02-23,2017-02-23,137.38,137.48,136.3,136.53,130.3104,20788186.0,0.0,1.0,26.97,31.54,14.07,1.98
806,2017-02-24,2017-02-24,135.91,136.66,135.28,136.66,130.4345,21776585.0,0.0,1.0,28.21,32.3,15.33,1.86
805,2017-02-27,2017-02-27,137.14,137.435,136.28,136.93,130.6922,20257426.0,0.0,1.0,24.94,30.78,12.35,1.89
804,2017-02-28,2017-02-28,137.08,137.435,136.7,136.99,130.7494,23482860.0,0.0,1.0,24.94,32.3,11.02,1.77
803,2017-03-01,2017-03-01,137.89,140.15,137.595,139.79,133.4219,36414585.0,0.0,1.0,23.2,29.26,15.96,2.1
802,2017-03-02,2017-03-02,140.0,140.2786,138.76,138.96,132.6297,26210984.0,0.0,1.0,23.49,29.26,15.39,2.34
801,2017-03-03,2017-03-03,138.78,139.83,138.59,139.78,133.4123,21571121.0,0.0,1.0,22.91,28.5,15.01,2.58
800,2017-03-06,2017-03-06,139.365,139.77,138.5959,139.34,132.9924,21750044.0,0.0,1.0,25.5,31.20000000000001,15.58,2.04
799,2017-03-07,2017-03-07,139.06,139.98,138.79,139.52,133.1642,17446297.0,0.0,1.0,24.3,29.64,14.44,1.7999999999999998
798,2017-03-08,2017-03-08,138.95,139.8,138.82,139.0,132.6679,18707236.0,0.0,1.0,24.0,30.03,13.68,2.07
797,2017-03-09,2017-03-09,138.74,138.79,137.05,138.68,132.3625,22155904.0,0.0,1.0,24.0,28.86,15.2,2.13
796,2017-03-10,2017-03-10,139.25,139.3571,138.64,139.14,132.8015,19612801.0,0.0,1.0,24.0,30.03,14.82,1.83
795,2017-03-13,2017-03-13,138.85,139.43,138.82,139.2,132.8588,17421717.0,0.0,1.0,25.5,29.26,14.22,1.42
794,2017-03-14,2017-03-14,139.3,139.65,138.84,138.99,132.6583,15309065.0,0.0,1.0,24.0,29.64,12.6,1.0
793,2017-03-15,2017-03-15,139.41,140.7501,139.025,140.46,134.0614,25691774.0,0.0,1.0,24.0,28.88,12.42,1.18
792,2017-03-16,2017-03-16,140.72,141.02,140.26,140.69,134.2809,19231998.0,0.0,1.0,24.0,29.64,12.96,1.14
791,2017-03-17,2017-03-17,141.0,141.0,139.89,139.99,133.6128,43884952.0,0.0,1.0,23.7,29.26,12.96,1.58
790,2017-03-20,2017-03-20,140.4,141.5,140.23,141.46,135.0158,21542038.0,0.0,1.0,26.56,31.57,14.6,1.4
789,2017-03-21,2017-03-21,142.11,142.8,139.73,139.84,133.4696,39529912.0,0.0,1.0,32.0,37.31,15.8,1.46
788,2017-03-22,2017-03-22,139.845,141.6,139.76,141.42,134.9776,25860165.0,0.0,1.0,29.76,37.31,16.2,1.22
787,2017-03-23,2017-03-23,141.26,141.5844,140.61,140.92,134.5004,20346301.0,0.0,1.0,27.2,35.26,15.6,1.4
786,2017-03-24,2017-03-24,141.5,141.74,140.35,140.64,134.2332,22395563.0,0.0,1.0,28.8,36.08,16.0,1.3
785,2017-03-27,2017-03-27,139.39,141.22,138.62,140.88,134.4622,23575094.0,0.0,1.0,27.84,36.96,18.9,2.46
784,2017-03-28,2017-03-28,140.91,144.04,140.62,143.8,137.2492,33374805.0,0.0,1.0,28.8,36.12,19.11,3.0
783,2017-03-29,2017-03-29,143.68,144.49,143.19,144.12,137.5546,29189955.0,0.0,1.0,27.2,34.44,18.27,2.28
782,2017-03-30,2017-03-30,144.19,144.5,143.5,143.93,137.3733,21207252.0,0.0,1.0,26.88,36.12,17.009999999999998,1.98
781,2017-03-31,2017-03-31,143.72,144.27,143.01,143.66,137.1156,19661651.0,0.0,1.0,26.56,36.54,17.009999999999998,1.92
780,2017-04-03,2017-04-03,143.71,144.12,143.05,143.7,137.1538,19985714.0,0.0,1.0,27.6,32.76,20.02,2.94
779,2017-04-04,2017-04-04,143.25,144.89,143.17,144.77,138.175,19891354.0,0.0,1.0,27.6,32.76,20.68,2.52
778,2017-04-05,2017-04-05,144.22,145.46,143.81,144.02,137.4592,27717854.0,0.0,1.0,27.6,32.370000000000005,18.48,2.34
777,2017-04-06,2017-04-06,144.29,144.52,143.45,143.66,137.1156,21149034.0,0.0,1.0,26.7,32.370000000000005,17.82,2.19
776,2017-04-07,2017-04-07,143.73,144.18,143.27,143.34,136.8102,16658543.0,0.0,1.0,25.8,31.59,16.28,2.64
775,2017-04-10,2017-04-10,143.6,143.8792,142.9,143.17,136.6479,18933397.0,0.0,1.0,27.6,33.54,15.8,2.46
774,2017-04-11,2017-04-11,142.94,143.35,140.06,141.63,135.1781,30379376.0,0.0,1.0,25.8,32.370000000000005,15.4,2.58
773,2017-04-12,2017-04-12,141.6,142.15,141.01,141.8,135.3403,20350000.0,0.0,1.0,26.4,32.370000000000005,16.0,2.55
772,2017-04-13,2017-04-13,141.91,142.38,141.05,141.05,134.6245,17822880.0,0.0,1.0,28.2,32.370000000000005,16.400000000000002,2.64
771,2017-04-17,2017-04-17,141.48,141.88,140.87,141.83,135.369,16582094.0,0.0,1.0,27.6,32.68,15.4,2.37
770,2017-04-18,2017-04-18,141.41,142.04,141.11,141.2,134.7677,14697544.0,0.0,1.0,26.7,31.16,15.4,2.85
769,2017-04-19,2017-04-19,141.88,142.0,140.45,140.68,134.2713,17328375.0,0.0,1.0,25.5,30.78,16.2,2.37
768,2017-04-20,2017-04-20,141.22,142.92,141.16,142.44,135.9512,23319562.0,0.0,1.0,27.0,31.54,16.0,1.92
767,2017-04-21,2017-04-21,142.44,142.68,141.85,142.27,135.7889,17320928.0,0.0,1.0,26.1,32.68,15.4,2.79
766,2017-04-24,2017-04-24,143.5,143.95,143.18,143.64,137.0965,17116599.0,0.0,1.0,27.0,32.370000000000005,16.8,1.58
765,2017-04-25,2017-04-25,143.91,144.9,143.87,144.53,137.946,18216472.0,0.0,1.0,25.8,31.98,15.54,1.46
764,2017-04-26,2017-04-26,144.47,144.6,143.3762,143.68,137.1347,19614287.0,0.0,1.0,25.2,31.98,16.59,1.72
763,2017-04-27,2017-04-27,143.9225,144.16,143.31,143.79,137.2397,13948980.0,0.0,1.0,25.2,31.20000000000001,17.43,1.4
762,2017-04-28,2017-04-28,144.09,144.3,143.27,143.65,137.106,20247187.0,0.0,1.0,25.8,30.81,14.91,1.72
761,2017-05-01,2017-05-01,145.1,147.2,144.96,146.58,139.9026,32818760.0,0.0,1.0,26.7,30.02,11.44,1.34
760,2017-05-02,2017-05-02,147.54,148.09,146.84,147.51,140.7902,39752670.0,0.0,1.0,27.6,29.26,11.22,2.0
759,2017-05-03,2017-05-03,145.59,147.49,144.27,147.06,140.3607,45142806.0,0.0,1.0,27.6,30.78,11.88,1.68
758,2017-05-04,2017-05-04,146.52,147.14,145.81,146.53,139.8549,23275690.0,0.0,1.0,26.1,30.78,12.54,1.66
757,2017-05-05,2017-05-05,146.76,148.98,146.76,148.96,142.1742,26787359.0,0.0,1.0,25.2,30.78,11.88,1.34
756,2017-05-08,2017-05-08,149.03,153.7,149.03,153.01,146.0397,48339210.0,0.0,1.0,29.14,33.6,17.94,1.88
755,2017-05-09,2017-05-09,153.87,154.88,153.45,153.99,146.975,35942435.0,0.0,1.0,28.52,33.2,16.900000000000002,1.58
754,2017-05-10,2017-05-10,153.63,153.94,152.11,153.26,146.2783,25670456.0,0.0,1.0,27.59,32.0,16.900000000000002,1.68
753,2017-05-11,2017-05-11,152.45,154.07,152.31,153.95,147.5381,25596687.0,0.63,1.0,27.28,33.2,16.64,1.4
752,2017-05-12,2017-05-12,154.7,156.42,154.67,156.1,149.5986,32221756.0,0.0,1.0,27.9,34.0,17.16,1.72
751,2017-05-15,2017-05-15,156.01,156.65,155.05,155.7,149.2152,25700983.0,0.0,1.0,30.4,32.370000000000005,18.72,1.6
750,2017-05-16,2017-05-16,155.94,156.06,154.72,155.47,148.9948,19904679.0,0.0,1.0,29.44,31.98,15.6,1.68
749,2017-05-17,2017-05-17,153.6,154.57,149.71,150.25,143.9922,49482818.0,0.0,1.0,27.84,31.59,13.78,1.4
748,2017-05-18,2017-05-18,151.27,153.34,151.13,152.54,146.1869,33159664.0,0.0,1.0,27.2,31.20000000000001,14.04,1.6
747,2017-05-19,2017-05-19,153.38,153.98,152.63,153.06,146.6852,26733798.0,0.0,1.0,26.56,31.59,13.26,1.5
746,2017-05-22,2017-05-22,154.0,154.58,152.91,153.99,147.5765,22340069.0,0.0,1.0,25.8,32.370000000000005,12.54,1.4
745,2017-05-23,2017-05-23,154.9,154.9,153.31,153.8,147.3944,19430358.0,0.0,1.0,25.5,31.20000000000001,11.44,1.16
744,2017-05-24,2017-05-24,153.84,154.17,152.67,153.34,146.9535,19118319.0,0.0,1.0,25.5,31.59,11.22,1.34
743,2017-05-25,2017-05-25,153.73,154.35,153.03,153.87,147.4615,19044463.0,0.0,1.0,24.9,32.76,10.78,1.38
742,2017-05-26,2017-05-26,154.0,154.24,153.31,153.61,147.2123,21632202.0,0.0,1.0,25.8,33.54,12.1,1.52
741,2017-05-30,2017-05-30,153.42,154.43,153.33,153.67,147.2698,20034934.0,0.0,1.0,25.8,34.800000000000004,11.44,1.22
740,2017-05-31,2017-05-31,153.97,154.17,152.38,152.76,146.3977,23162873.0,0.0,1.0,24.3,32.4,10.56,1.7
739,2017-06-01,2017-06-01,153.17,153.33,152.22,153.18,146.8002,16180143.0,0.0,1.0,18.3,32.800000000000004,12.32,1.28
738,2017-06-02,2017-06-02,153.58,155.45,152.89,155.45,148.9757,27285861.0,0.0,1.0,18.9,33.6,13.42,1.14
737,2017-06-05,2017-06-05,154.34,154.45,153.46,153.93,147.519,24803858.0,0.0,1.0,36.0,37.8,16.560000000000002,2.28
736,2017-06-06,2017-06-06,153.9,155.81,153.78,154.45,148.0173,26249630.0,0.0,1.0,31.68,37.38,16.330000000000002,2.88
735,2017-06-07,2017-06-07,155.02,155.98,154.48,155.37,148.899,20678772.0,0.0,1.0,27.0,36.96,14.72,2.43
734,2017-06-08,2017-06-08,155.25,155.54,154.4,154.99,148.5348,20771367.0,0.0,1.0,23.76,35.28,14.72,2.19
733,2017-06-09,2017-06-09,155.19,155.19,146.02,148.98,142.7751,64882700.0,0.0,1.0,25.56,36.12,14.49,2.52
732,2017-06-12,2017-06-12,145.74,146.09,142.51,145.42,139.3634,71563614.0,0.0,1.0,23.1,36.96,18.75,1.96
731,2017-06-13,2017-06-13,147.16,147.45,145.15,146.59,140.4847,33749154.0,0.0,1.0,22.77,35.28,16.25,1.88
730,2017-06-14,2017-06-14,147.5,147.5,143.84,145.16,139.1142,31224203.0,0.0,1.0,22.77,35.28,18.25,1.54
729,2017-06-15,2017-06-15,143.32,144.4798,142.21,144.29,138.2805,31348832.0,0.0,1.0,22.11,36.12,18.25,2.0
728,2017-06-16,2017-06-16,143.78,144.5,142.2,142.27,136.3446,49180748.0,0.0,1.0,23.1,36.96,18.75,1.68
727,2017-06-19,2017-06-19,143.66,146.74,143.66,146.34,140.2451,31449132.0,0.0,1.0,23.36,39.56,18.75,2.76
726,2017-06-20,2017-06-20,146.87,146.87,144.94,145.01,138.9705,24572170.0,0.0,1.0,22.08,38.27,18.75,2.61
725,2017-06-21,2017-06-21,145.52,146.0693,144.61,145.87,139.7947,21064679.0,0.0,1.0,21.44,37.41,16.5,2.82
724,2017-06-22,2017-06-22,145.77,146.7,145.1199,145.63,139.5647,18673365.0,0.0,1.0,21.44,37.84,16.5,2.13
723,2017-06-23,2017-06-23,145.13,147.16,145.11,146.28,140.1876,25997976.0,0.0,1.0,20.48,39.13,16.0,2.37
722,2017-06-26,2017-06-26,147.17,148.28,145.38,145.82,139.7467,25524661.0,0.0,1.0,21.08,36.96,14.52,1.78
721,2017-06-27,2017-06-27,145.01,146.16,143.62,143.73,137.7438,24423643.0,0.0,1.0,21.7,37.8,14.3,1.58
720,2017-06-28,2017-06-28,144.49,146.11,143.1601,145.83,139.7563,21915939.0,0.0,1.0,20.77,37.8,14.08,1.52
719,2017-06-29,2017-06-29,144.71,145.13,142.28,143.68,137.6959,31116980.0,0.0,1.0,20.77,40.32,13.42,1.78
718,2017-06-30,2017-06-30,144.45,144.96,143.78,144.02,138.0217,22328979.0,0.0,1.0,20.46,39.06,14.3,1.38
717,2017-07-03,2017-07-03,144.88,145.3,143.1,143.5,137.5234,14258300.0,0.0,1.0,28.83,38.27,17.009999999999998,1.12
716,2017-07-05,2017-07-05,143.69,144.79,142.7237,144.09,138.0888,20758795.0,0.0,1.0,27.28,40.85,16.169999999999998,1.2
715,2017-07-06,2017-07-06,143.02,143.5,142.41,142.73,136.7854,23374374.0,0.0,1.0,27.59,41.28,15.96,1.04
714,2017-07-07,2017-07-07,142.9,144.75,142.9,144.18,138.175,18505351.0,0.0,1.0,27.59,40.42,17.64,0.96
713,2017-07-10,2017-07-10,144.11,145.95,143.37,145.06,139.0184,21030466.0,0.0,1.0,28.21,37.8,18.04,0.94
712,2017-07-11,2017-07-11,144.73,145.85,144.38,145.53,139.4688,18311156.0,0.0,1.0,29.14,38.64,20.68,1.48
711,2017-07-12,2017-07-12,145.87,146.18,144.82,145.74,139.6701,23617964.0,0.0,1.0,28.83,40.74,18.7,1.38
710,2017-07-13,2017-07-13,145.5,148.49,145.44,147.77,141.6155,24922788.0,0.0,1.0,27.59,38.64,18.7,1.66
709,2017-07-14,2017-07-14,147.97,149.33,147.33,149.04,142.8326,19961788.0,0.0,1.0,27.9,37.38,18.7,1.68
708,2017-07-17,2017-07-17,148.82,150.9,148.57,149.56,143.33100000000005,23243713.0,0.0,1.0,28.52,38.22,19.8,1.76
707,2017-07-18,2017-07-18,149.2,150.13,148.67,150.08,143.8293,17713795.0,0.0,1.0,27.59,37.8,18.26,1.5
706,2017-07-19,2017-07-19,150.48,151.42,149.95,151.02,144.7302,20615419.0,0.0,1.0,28.52,37.38,18.92,1.3
705,2017-07-20,2017-07-20,151.5,151.74,150.19,150.34,144.0785,17053326.0,0.0,1.0,26.97,37.8,18.92,1.44
704,2017-07-21,2017-07-21,149.99,150.44,148.88,150.27,144.0114,24671002.0,0.0,1.0,27.59,36.96,18.92,1.5
703,2017-07-24,2017-07-24,150.58,152.44,149.9,152.09,145.7556,21122730.0,0.0,1.0,30.08,39.56,20.9,2.46
702,2017-07-25,2017-07-25,151.8,153.84,151.8,152.74,146.3785,18612649.0,0.0,1.0,30.08,38.7,18.7,2.22
701,2017-07-26,2017-07-26,153.35,153.93,153.06,153.46,147.0685,15172136.0,0.0,1.0,29.12,38.7,18.7,1.92
700,2017-07-27,2017-07-27,153.75,153.99,147.3,150.56,144.2893,32175875.0,0.0,1.0,29.44,38.27,19.14,2.55
699,2017-07-28,2017-07-28,149.89,150.23,149.19,149.5,143.2735,16832947.0,0.0,1.0,28.8,38.7,18.26,3.0
698,2017-07-31,2017-07-31,149.9,150.33,148.13,148.73,142.5355,19422655.0,0.0,1.0,30.69,39.99,20.01,1.74
697,2017-08-01,2017-08-01,149.1,150.22,148.41,150.05,143.8006,24725526.0,0.0,1.0,31.35,37.84,17.48,2.82
696,2017-08-02,2017-08-02,159.28,159.75,156.16,157.14,150.5953,69222793.0,0.0,1.0,31.68,38.27,19.55,2.43
695,2017-08-03,2017-08-03,157.05,157.21,155.02,155.57,149.0907,26000738.0,0.0,1.0,30.69,37.41,20.01,2.31
694,2017-08-04,2017-08-04,156.07,157.4,155.69,156.39,149.8765,20349532.0,0.0,1.0,30.03,38.27,18.630000000000006,3.0
693,2017-08-07,2017-08-07,157.06,158.92,156.6701,158.81,152.1957,21870321.0,0.0,1.0,30.4,38.7,20.93,2.19
692,2017-08-08,2017-08-08,158.6,161.83,158.27,160.08,153.4128,35775675.0,0.0,1.0,29.12,37.84,19.09,2.22
691,2017-08-09,2017-08-09,159.26,161.27,159.11,161.06,154.352,25640394.0,0.0,1.0,30.4,37.84,18.86,2.55
690,2017-08-10,2017-08-10,159.9,160.0,154.63,155.32,149.4548,39081017.0,0.63,1.0,28.8,37.84,18.4,2.49
689,2017-08-11,2017-08-11,156.6,158.5728,156.07,157.48,151.5333,25943187.0,0.0,1.0,29.12,37.41,19.78,2.7
688,2017-08-14,2017-08-14,159.32,160.21,158.75,159.85,153.8138,21754810.0,0.0,1.0,30.36000000000001,36.12,18.630000000000006,1.89
687,2017-08-15,2017-08-15,160.66,162.195,160.14,161.6,155.4977,27936774.0,0.0,1.0,30.69,36.96,19.32,2.85
686,2017-08-16,2017-08-16,161.94,162.51,160.15,160.95,154.8722,27321761.0,0.0,1.0,30.36000000000001,35.7,19.32,2.46
685,2017-08-17,2017-08-17,160.52,160.71,157.84,157.86,151.8989,26925694.0,0.0,1.0,29.70000000000001,36.12,18.86,2.13
684,2017-08-18,2017-08-18,157.86,159.5,156.72,157.5,151.5525,27012525.0,0.0,1.0,29.37,35.7,17.25,2.73
683,2017-08-21,2017-08-21,157.5,157.89,155.1101,157.21,151.2735,26145653.0,0.0,1.0,25.92,43.0,15.54,1.1
682,2017-08-22,2017-08-22,158.23,160.0,158.02,159.78,153.7464,21297812.0,0.0,1.0,29.44,38.27,16.169999999999998,1.58
681,2017-08-23,2017-08-23,159.07,160.47,158.88,159.98,153.9389,19198189.0,0.0,1.0,29.76,37.41,16.38,1.86
680,2017-08-24,2017-08-24,160.43,160.74,158.55,159.27,153.2557,19029621.0,0.0,1.0,29.44,36.98,15.96,1.9
679,2017-08-25,2017-08-25,159.65,160.56,159.27,159.86,153.8234,25015218.0,0.0,1.0,29.44,35.69,16.8,1.48
678,2017-08-28,2017-08-28,160.14,162.0,159.93,161.47,155.3726,25279674.0,0.0,1.0,30.03,36.98,15.6,1.4
677,2017-08-29,2017-08-29,160.1,163.12,160.0,162.91,156.7582,29307862.0,0.0,1.0,31.35,36.55,15.4,1.62
676,2017-08-30,2017-08-30,163.8,163.89,162.61,163.35,157.1816,26973946.0,0.0,1.0,29.37,36.98,15.2,1.66
675,2017-08-31,2017-08-31,163.64,164.52,163.48,164.0,157.8071,26412439.0,0.0,1.0,30.69,36.98,14.8,1.76
674,2017-09-01,2017-09-01,164.8,164.94,163.63,164.05,157.8552,16508568.0,0.0,1.0,9.24,9.89,5.6000000000000005,0.72
673,2017-09-05,2017-09-05,163.75,164.25,160.56,162.08,155.9596,29317054.0,0.0,1.0,8.58,9.46,5.46,1.14
672,2017-09-06,2017-09-06,162.71,162.99,160.52,161.91,155.796,21179047.0,0.0,1.0,8.58,9.46,6.3,0.99
671,2017-09-07,2017-09-07,162.09,162.24,160.36,161.26,155.1705,21722995.0,0.0,1.0,8.25,9.03,5.25,0.93
670,2017-09-08,2017-09-08,160.86,161.15,158.53,158.63,152.6398,28183159.0,0.0,1.0,8.25,9.03,5.46,1.11
669,2017-09-11,2017-09-11,160.5,162.05,159.89,161.5,155.4015,31028926.0,0.0,1.0,17.11,26.0,11.73,1.8
668,2017-09-12,2017-09-12,162.61,163.96,158.77,160.86,154.7856,71139119.0,0.0,1.0,59.0,100.0,51.0,4.65
667,2017-09-13,2017-09-13,159.87,159.96,157.91,159.65,153.6213,44393752.0,0.0,1.0,34.22,82.0,49.47,5.0
666,2017-09-14,2017-09-14,158.99,159.4,158.09,158.28,152.3031,23073646.0,0.0,1.0,23.01,44.0,33.660000000000004,3.25
665,2017-09-15,2017-09-15,158.47,160.97,158.0,159.88,153.8426,48203642.0,0.0,1.0,25.37,42.0,43.86,3.8
664,2017-09-18,2017-09-18,160.11,160.5,157.995,158.67,152.6783,27939718.0,0.0,1.0,15.75,16.52,21.93,3.65
663,2017-09-19,2017-09-19,159.51,159.77,158.44,158.73,152.7361,20347352.0,0.0,1.0,15.3,16.52,19.35,3.1500000000000004
662,2017-09-20,2017-09-20,157.9,158.26,153.83,156.07,150.1765,51693239.0,0.0,1.0,16.2,17.7,24.51,3.1500000000000004
661,2017-09-21,2017-09-21,155.8,155.8,152.75,153.39,147.5977,36643382.0,0.0,1.0,15.75,16.52,21.93,3.45
660,2017-09-22,2017-09-22,152.02,152.27,150.56,151.89,146.1544,46114424.0,0.0,1.0,17.55,20.65,26.23,2.9000000000000004
659,2017-09-25,2017-09-25,149.99,151.83,149.16,150.55,144.865,43922334.0,0.0,1.0,15.4,16.5,22.4,2.64
658,2017-09-26,2017-09-26,151.78,153.92,151.69,153.14,147.3572,35470985.0,0.0,1.0,14.96,15.400000000000002,23.6,2.4
657,2017-09-27,2017-09-27,153.8,154.7189,153.54,154.23,148.406,24959552.0,0.0,1.0,14.96,14.85,19.200000000000006,2.32
656,2017-09-28,2017-09-28,153.89,154.28,152.7,153.28,147.4919,21896592.0,0.0,1.0,14.52,14.3,19.6,2.36
655,2017-09-29,2017-09-29,153.21,154.13,152.0,154.12,148.3002,25856530.0,0.0,1.0,14.96,14.3,17.2,2.04
654,2017-10-02,2017-10-02,154.26,154.45,152.72,153.81,148.0019,18524860.0,0.0,1.0,30.34,28.91,25.28,2.76
