"","x"
"1",0.512328835237651
"2",0.552227949658413
"3",0.531928374442431
"4",0.528053498560525
"5",0.431716948436139
"6",0.380837352643501
"7",0.369196321558699
"8",0.351423252094099
"9",0.34162887913849
"10",0.272158762565656
"11",0.244107322151446
"12",0.258673823238843
"13",0.24301321194635
"14",0.249583017167233
"15",0.275032370797115
"16",0.274810645775951
"17",0.28173298874604
"18",0.261424690893901
"19",0.213773685936739
"20",0.161112017833324
"21",0.1088516774464
"22",0.269834897376921
"23",0.318677429565069
"24",0.276423213520694
"25",0.250100323032038
"26",0.482742830908125
"27",0.396207994855515
"28",0.0505305662090629
"29",0.458481455563564
"30",0.586800178511627
"31",0.566536456714675
"32",0.593249838426077
"33",0.578246060328174
"34",0.536063706127058
"35",0.534976889087563
"36",0.543004677738568
"37",0.576237550707694
"38",0.598814405206588
"39",0.603424339492249
"40",0.591349455542261
"41",0.564387564003124
"42",0.575613587640375
"43",0.546165653500877
"44",0.528470982353018
"45",0.49625170069146
"46",0.495254924501789
"47",0.530327580853782
"48",0.520620553549601
"49",0.494094716949343
"50",0.41225694704032
"51",0.384834953170487
"52",0.451834914353895
"53",0.507180415819343
"54",0.448011622698991
"55",0.46136390483047
"56",0.48421962253935
"57",0.462270128932895
"58",0.599486472992884
"59",0.67057074218587
"60",0.655757135170451
"61",0.649540837243859
"62",0.646925836469538
"63",0.647312018890936
"64",0.641624213344146
"65",0.599161505354262
"66",0.569532463624064
"67",0.645307556105704
"68",0.651106535095217
"69",0.653776021155585
"70",0.621389389148778
"71",0.631662575534262
"72",0.607837646152236
"73",0.55174838785427
"74",0.561000415257753
"75",0.575807201904948
"76",0.562410245050346
"77",0.609548852043255
"78",0.622086304352533
"79",0.56683019158846
"80",0.543535672717332
"81",0.575588792927833
"82",0.651013943687595
"83",0.530652447367759
"84",0.43855005674129
"85",0.454993508740772
"86",0.498703968989284
"87",0.670428957971444
"88",0.718783351653798
"89",0.760906910632452
"90",0.800547827734219
"91",0.820467708390041
"92",0.851728763725985
"93",0.840260146990887
"94",0.753920722220016
"95",0.661272546831379
"96",0.60363017108182
"97",0.396297229570115
"98",0.250454321779013
"99",0.129940473305673
"100",0.158162695442728
"101",0.193184992549664
"102",0.398602973586234
"103",0.522075515149922
"104",0.587421252209539
"105",0.649623321863975
"106",0.713504145724853
"107",0.763824120815483
"108",0.79240606485592
"109",0.81492600142208
"110",0.818450248802688
"111",0.835093621936988
"112",0.867900899653889
"113",0.888937361918149
"114",0.880658000001662
"115",0.893181200148957
"116",0.906366036756525
"117",0.887661523944518
"118",0.899480359296586
"119",0.895475146626065
"120",0.88735558102376
"121",0.890787756566752
"122",0.88921704891617
"123",0.86129529943563
"124",0.882094494438252
"125",0.896064816271393
"126",0.910117578341343
"127",0.921815647655524
"128",0.92604958264426
"129",0.893555646726531
"130",0.922670730712514
"131",0.933849604599475
"132",0.936616302676246
"133",0.943055847427702
"134",0.944487158448342
"135",0.932935894403832
"136",0.940939499649446
"137",0.932800119172589
"138",0.926426755279295
"139",0.925276715228512
"140",0.914967422092875
"141",0.916406075519167
"142",0.919027685215447
"143",0.917838379235586
"144",0.915739475821832
"145",0.895625992457448
"146",0.923748458290959
"147",0.896340929024529
"148",0.919700537898648
"149",0.934544057391678
"150",0.922336419589233
"151",0.920948174507776
"152",0.922747623815206
"153",0.924348273259873
"154",0.928943549473957
"155",0.926778294836494
"156",0.878777881571009
"157",0.886430029461541
"158",0.834076663673777
"159",0.806706635706511
"160",0.848100616415531
"161",0.833452500707401
"162",0.780992525957529
"163",0.741178994238756
"164",0.740896532586794
"165",0.807506267500598
"166",0.842141733073961
"167",0.713315760295671
"168",0.81427870680174
"169",0.857497247595673
"170",-0.386967654678944
"171",-0.54045888539884
"172",-0.624637358227726
"173",-0.683009312537946
"174",-0.607977429232414
"175",-0.50765009072769
"176",0.397788494775423
"177",0.537415209812553
"178",0.598032843151452
"179",0.516387262136658
"180",0.446382471795621
"181",0.413002653469747
"182",0.358889257188286
"183",0.522340736290866
"184",0.565717286925407
"185",0.651749994419555
"186",0.608693054997301
"187",0.402948196038869
"188",0.269725046746999
"189",0.613960227041929
"190",0.715766721831531
"191",0.79108383580653
"192",0.815855234939028
"193",0.832614778366819
"194",0.826492286327958
"195",0.8273106292667
"196",0.814763901980111
"197",0.80964490359311
"198",0.835073896027003
"199",0.813966507056985
"200",0.808696453426232
"201",0.755915351918309
"202",0.754906824069463
"203",0.818183053392925
"204",0.822970668431736
"205",0.831838158468064
"206",0.767471755544789
"207",0.776986006845484
"208",0.802618229646608
"209",0.814109261281001
"210",0.851203002117646
"211",0.818331934582642
"212",0.0670318166573385
"213",-0.197591934871766
"214",-0.410089439691983
"215",-0.590354648008648
"216",-0.691460271406671
"217",-0.714265085432419
"218",-0.712259449909652
"219",-0.674401601464279
"220",-0.676900553585485
"221",-0.669225951649416
"222",-0.719116385749583
"223",-0.731857006272633
"224",-0.218599264642968
"225",0.0815034925612905
"226",0.531139411978733
"227",0.373225050600626
"228",0.356209759527585
"229",0.319830194719094
"230",0.042532800404566
"231",-0.0232236263239786
"232",-0.0846996677678736
"233",-0.352021034514905
"234",-0.378496214641602
"235",-0.248590085066691
"236",0.262569204943067
"237",0.549456286602677
"238",0.537941097633772
"239",0.512979036093035
"240",0.523759475456906
"241",0.678162218878098
"242",0.676475652157934
"243",0.687899731283142
"244",0.724792767540922
"245",0.731240125182674
"246",0.651943225711739
"247",-0.391001187937682
"248",-0.582053302816145
"249",-0.567674323184632
"250",-0.531549020053522
"251",-0.37746326076463
"252",-0.484742773340195
"253",-0.602341915381366
"254",-0.633411726239572
"255",-0.593608032427801
"256",-0.588822570853072
"257",-0.585420998470696
"258",-0.612038230237469
"259",-0.641886891264727
"260",-0.594649188836555
"261",-0.558460009645586
"262",-0.547769766329889
"263",-0.57263656830939
"264",-0.600674628845436
"265",-0.570534853195425
"266",-0.490563895459862
"267",-0.527782038045614
"268",-0.567209260309861
"269",-0.684315760074299
"270",-0.718452729052916
"271",-0.665149349300282
"272",-0.578826787931364
"273",-0.628692605561764
"274",-0.585938253559041
"275",-0.015363629185218
"276",0.326524947863188
"277",0.312073065317723
"278",-0.152370253782492
"279",-0.185775005070433
"280",-0.13101403360068
"281",-0.0115091182558433
"282",-0.122667543341526
"283",-0.0524071477916341
"284",-0.0821159502284573
"285",0.235562492515706
"286",0.281805664938482
"287",0.514322741242562
"288",0.61817025701412
"289",0.653498675012013
"290",0.689835462083657
"291",0.725623295735395
"292",0.576045295802721
"293",0.375036727432113
"294",-0.0462931695058491
"295",-0.224586813955829
"296",-0.197886621927825
"297",0.0990108587414061
"298",0.0464421214485622
"299",-0.121377758426507
"300",-0.114699676042999
"301",-0.174911862804741
"302",-0.34223159338014
"303",0.388876035294903
"304",0.533940164946552
"305",0.643559258985134
"306",0.687369898105651
"307",0.647187041458708
"308",0.715762141978257
"309",0.762819236211654
"310",0.739240508452108
"311",0.717851184156661
"312",0.7190699371666
"313",0.780152974762439
"314",0.816672570743178
"315",0.830219887706209
"316",0.842315416453946
"317",0.84486131207424
"318",0.824939440863695
"319",0.804313775176428
"320",0.771706877211477
"321",0.769213579136227
"322",0.773977020502266
"323",0.813187689913139
"324",0.833374187278433
"325",0.838135396384863
"326",0.845727600353369
"327",0.850140191261259
"328",0.848970012946073
"329",0.839706513422587
"330",0.832032734654812
"331",0.801657009052958
"332",0.81694919441713
"333",0.813010585168049
"334",0.767893390072346
"335",0.777367234449573
"336",0.802514153063495
"337",0.797104339227235
"338",0.820585811235408
"339",0.827411508678584
"340",0.818152913505355
"341",0.823369655671426
"342",0.771534469144123
"343",0.784184483797322
"344",0.806679718741652
"345",0.798327333667466
"346",0.797213238348213
"347",0.739983332464278
"348",0.71864105597322
"349",0.72827991589771
"350",0.71853807044782
"351",0.783162614506299
"352",0.801632688535347
"353",0.790986239365793
"354",0.818090658315016
"355",0.792517072564585
"356",0.216285312120985
"357",0.611867345318443
"358",0.668499263157267
"359",0.708766851419507
"360",0.756770309586041
"361",0.751677354140956
"362",0.747584446643796
"363",0.766669897173942
"364",0.770329014040968
"365",0.774590687900537
"366",0.818889655896287
"367",0.842053178096965
"368",0.845241855800799
"369",0.790682723495593
"370",0.795044368894887
"371",0.811523234981966
"372",0.797141999151833
"373",0.787078855041105
"374",0.791389588544169
"375",0.80224617765007
"376",0.826205048901352
"377",0.80542749113594
"378",0.828650030982659
"379",0.824925118117747
"380",0.820567957189788
"381",0.841088121980285
"382",0.845983854237961
"383",0.850507963642541
"384",0.829419396185309
"385",0.786824124245373
"386",0.790590463615375
"387",0.766219245033881
"388",0.767180116829031
"389",0.778843603528972
"390",0.754750770065114
"391",0.769851850825465
"392",0.785871289298768
"393",0.799260805282787
"394",0.812281788980171
"395",0.81923083332603
"396",0.819306068916047
"397",0.831422386003895
"398",0.595627075534317
"399",0.463137252365238
"400",0.352409372935417
"401",0.0550639814424777
"402",-0.219527282939508
"403",-0.023543993925221
"404",-0.216022149043551
"405",-0.0317680905937116
"406",-0.0947790087275862
"407",-0.103349906852621
"408",-0.228311841579773
