"","0.65 * apple_trend + 0.2 * iphone_trend + 0.075 * apple_watch_trend"
"416",27.764
"417",28.027
"418",26.6735
"419",28.39225
"420",29.08075
"421",12.10875
"422",11.8395
"423",11.80875
"424",11.74875
"425",20.214
"426",20.99925
"427",54.879
"428",42.44625
"429",36.9225
"430",23.37325
"431",22.875
"432",22.7405
"433",22.34275
"434",25.519
"435",23.91975
"436",23.49975
"437",22.50375
"438",21.3615
"439",21.3615
"440",35.45575
"441",34.11725
"442",34.93825
"443",33.38975
"444",34.1725
"445",33.768
"446",31.80825
"447",30.26425
"448",30.33025
"449",31.68375
"450",28.33825
"451",27.91775
"452",26.829
"453",27.77925
"454",30.0515
"455",27.93875
"456",28.8135
"457",27.0855
"458",27.03225
"459",28.127
"460",29.33925
"461",35.133
"462",30.4725
"463",18.924
"464",19.45575
"465",17.089
"466",16.7065
"467",14.77725
"468",16.557
"469",16.89
"470",19.59525
"471",19.29175
"472",18.9035
"473",17.9715
"474",18.87425
"475",32.1965
"476",33.6765
"477",42.032
"478",59.097
"479",29.79925
"480",23.875
"481",20.91525
"482",21.16
"483",20.36575
"484",18.3575
"485",18.4305
"486",18.6995
"487",18.9725
"488",20.60825
"489",19.78625
"490",19.33
"491",19.80525
"492",20.315
"493",22.6985
"494",22.3165
"495",22.57775
"496",23.14725
"497",24.24675
"498",37.796
"499",53.9855
"500",42.468
"501",36.1955
"502",22.84425
"503",39.29825
"504",42.55625
"505",40.2975
"506",30.37475
"507",30.5115
"508",30.0055
"509",29.6145
"510",29.5175
"511",26.35775
"512",25.9085
"513",25.9505
"514",26.0525
"515",26.07525
"516",25.07725
"517",23.74475
"518",24.474
"519",24.88475
"520",26.284
"521",28.123
"522",26.5075
"523",24.37175
"524",31.04075
"525",26.4365
"526",28.888
"527",27.46525
"528",27.7235
"529",28.6265
"530",27.81625
"531",27.817
"532",28.331
"533",28.6605
"534",28.94725
"535",28.25175
"536",28.33325
"537",28.86225
"538",28.93025
"539",26.8515
"540",26.822
"541",26.84575
"542",26.35425
"543",21.0625
"544",21.00375
"545",19.5725
"546",19.642
"547",20.66125
"548",20.4715
"549",21.19075
"550",20.7735
"551",20.674
"552",20.52025
"553",19.741
"554",23.0085
"555",22.7925
"556",25.16025
"557",24.21825
"558",22.58925
"559",35.1075
"560",32.84775
"561",27.462
"562",25.6065
"563",25.91025
"564",29.32
"565",28.953
"566",28.8065
"567",28.99425
"568",28.83725
"569",28.26625
"570",27.55875
"571",27.34375
"572",26.85175
"573",27.09175
"574",27.86125
"575",29.063
"576",28.486
"577",27.70025
"578",28.74875
"579",28.584
"580",27.30425
"581",27.4895
"582",26.86
"583",27.1885
"584",29.0335
"585",27.2205
"586",26.879
"587",27.166
"588",27.979
"589",27.953
"590",27.78725
"591",27.435
"592",28.153
"593",29.40475
"594",29.002
"595",27.98225
"596",27.2355
"597",27.6685
"598",30.2455
"599",28.0615
"600",27.179
"601",27.50625
"602",27.55
"603",28.1185
"604",28.25625
"605",27.926
"606",27.9315
"607",34.42875
"608",35.87175
"609",33.53775
"610",31.36725
"611",29.9625
"612",26.11575
"613",25.634
"614",25.7215
"615",25.2395
"616",25.65225
"617",25.6465
"618",25.75875
"619",25.646
"620",24.4305
"621",25.06975
"622",25.428
"623",25.1945
"624",24.984
"625",24.84
"626",25.9155
"627",28.24175
"628",27.61425
"629",28.31775
"630",27.55625
"631",28.64825
"632",28.38525
"633",28.4015
"634",28.50675
"635",27.36775
"636",34.619
"637",33.0875
"638",30.71725
"639",30.297
"640",29.8585
"641",29.052
"642",29.19775
"643",28.826
"644",29.076
"645",28.96925
"646",29.32275
"647",29.774
"648",29.35575
"649",15.63875
"650",15.94275
"651",15.892
"652",15.875
"653",15.476
"654",16.247
"655",15.889
"656",16.804
"657",16.357
"658",16.3795
"659",15.8435
"660",15.9675
"661",16.1505
"662",16.8715
"663",16.455
"664",16.8025
"665",16.57825
"666",19.85725
"667",19.7045
"668",19.815
"669",19.54075
"670",34.53625
"671",50.37325
"672",54.2095
"673",57.836
"674",52.741
"675",47.106
"676",80.2875
"677",70.788
"678",57.285
"679",54.99
"680",42.074
"681",41.119
"682",41.005
"683",40.371
"684",43.021
"685",34.9885
"686",32.535
"687",29.4885
"688",28.9385
"689",25.06
"690",18.1135
"691",35.5155
"692",33.88275
"693",33.9815
"694",36.02225
"695",34.79825
"696",34.01875
"697",34.18725
"698",33.25075
"699",33.4295
"700",33.048
"701",30.7215
