,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr
0,2017-01-03,2251.5701,2263.8799,2245.1299,2257.8301,2257.8301,3770530000.0,0.0,1.0,16.470000000000002,28.52,19.53,2.0700000000000003,0.339010572028912
1,2017-01-04,2261.6001,2272.8201,2261.6001,2270.75,2270.75,3764890000.0,0.0,1.0,16.470000000000002,29.9,19.53,2.0700000000000003,0.6728089037031489
2,2017-01-05,2268.1799,2271.5,2260.45,2269.0,2269.0,3761820000.0,0.0,1.0,17.28,28.98,18.9,2.3000000000000003,0.678277759332559
3,2017-01-06,2271.1399,2282.1001,2264.0601,2276.98,2276.98,3339890000.0,0.0,1.0,19.44,32.2,19.53,2.53,0.672526593683352
4,2017-01-09,2273.5901,2275.49,2268.8999,2268.8999,2268.8999,3217610000.0,0.0,1.0,21.12,25.8,16.52,6.6,0.6650505011892739
5,2017-01-10,2269.72,2279.27,2265.27,2268.8999,2268.8999,3638790000.0,0.0,1.0,22.4,25.8,15.93,5.72,0.576734135036807
6,2017-01-11,2268.6001,2275.3201,2260.8301,2275.3201,2275.3201,3620410000.0,0.0,1.0,25.28,25.8,17.7,15.4,0.636782217885189
7,2017-01-12,2271.1399,2271.78,2254.25,2270.4399,2270.4399,3462130000.0,0.0,1.0,22.72,26.66,17.7,9.68,0.0238729209545136
8,2017-01-13,2272.74,2278.6799,2271.51,2274.6399,2274.6399,3081270000.0,0.0,1.0,18.24,25.8,20.06,6.6,0.270753737137235
9,2017-01-17,2269.1399,2272.0801,2262.8101,2267.8899,2267.8899,3584990000.0,0.0,1.0,25.16,30.5,17.69,18.0,0.5822105815886129
10,2017-01-18,2269.1399,2272.01,2263.3501,2271.8899,2271.8899,3315250000.0,0.0,1.0,25.500000000000004,30.5,18.3,17.0,-0.17887973686517
11,2017-01-19,2271.8999,2274.3301,2258.4099,2263.6899,2263.6899,3165970000.0,0.0,1.0,30.6,31.5,20.74,23.0,-0.45705372463438504
12,2017-01-20,2269.96,2276.96,2265.01,2271.3101,2271.3101,3524970000.0,0.0,1.0,24.82,50.0,20.74,100.0,-0.707320492878231
13,2017-01-23,2267.78,2271.78,2257.02,2265.2,2265.2,3152710000.0,0.0,1.0,28.8,30.72,32.98,37.6,-0.7191581425571859
14,2017-01-24,2267.8799,2284.6299,2266.6799,2280.0701,2280.0701,3810960000.0,0.0,1.0,27.72,30.72,35.89,35.72,-0.49880550286328
15,2017-01-25,2288.8799,2299.55,2288.8799,2298.3701,2298.3701,3846020000.0,0.0,1.0,29.16,29.76,39.77,35.72,-0.48085181943001004
16,2017-01-26,2298.6299,2300.99,2294.0801,2296.6799,2296.6799,3610360000.0,0.0,1.0,31.32,31.2,43.65,33.84,-0.546146820049659
17,2017-01-27,2299.02,2299.02,2291.6201,2294.6899,2294.6899,3135890000.0,0.0,1.0,22.68,31.68,65.96,28.2,-0.6146521130939661
18,2017-01-30,2286.01,2286.01,2268.04,2280.8999,2280.8999,3591270000.0,0.0,1.0,39.06,38.0,27.69,27.65,-0.641249589577155
19,2017-01-31,2274.02,2279.0901,2267.21,2278.8701,2278.8701,4087450000.0,0.0,1.0,42.0,35.0,24.14,29.23,-0.7103598327510479
20,2017-02-01,2285.5901,2289.1399,2272.4399,2279.55,2279.55,3916610000.0,0.0,1.0,37.38,48.0,60.35,76.63000000000002,-0.752750203324216
21,2017-02-02,2276.6899,2283.97,2271.6499,2280.8501,2280.8501,3807710000.0,0.0,1.0,41.16,48.5,61.06,79.0,-0.756169686158673
22,2017-02-03,2288.54,2298.3101,2287.8799,2297.4199,2297.4199,3597970000.0,0.0,1.0,37.8,47.0,62.48,71.10000000000002,-0.6964254352089461
23,2017-02-06,2294.28,2296.1799,2288.5701,2292.5601,2292.5601,3109050000.0,0.0,1.0,28.12,41.86,36.85,42.90000000000001,-0.67833880212112
24,2017-02-07,2295.8701,2299.3999,2290.1599,2293.0801,2293.0801,3448690000.0,0.0,1.0,31.08,42.32,38.5,37.40000000000001,-0.613306852281382
25,2017-02-08,2289.55,2295.9099,2285.3799,2294.6699,2294.6699,3609740000.0,0.0,1.0,35.89,43.24,40.7,40.7,-0.6721748831668011
26,2017-02-09,2296.7,2311.0801,2296.6101,2307.8701,2307.8701,3677940000.0,0.0,1.0,34.04,43.24,40.15000000000001,41.25,-0.7398167706100629
27,2017-02-10,2312.27,2319.23,2311.1001,2316.1001,2316.1001,3475020000.0,0.0,1.0,31.45,42.78,44.0,41.8,-0.753570573712958
28,2017-02-13,2321.72,2331.5801,2321.4199,2328.25,2328.25,3349730000.0,0.0,1.0,34.56,39.6,37.63,34.84,-0.759491399069989
29,2017-02-14,2326.1201,2337.5801,2322.1699,2337.5801,2337.5801,3520910000.0,0.0,1.0,30.96,38.72,37.1,35.88,-0.727770486181142
30,2017-02-15,2335.5801,2351.3,2334.8101,2349.25,2349.25,3775590000.0,0.0,1.0,36.0,39.16,38.16,37.96,-0.749723427657508
31,2017-02-16,2349.6399,2351.3101,2338.8701,2347.22,2347.22,3672370000.0,0.0,1.0,31.68,40.92,36.57,40.04,-0.7621140331112478
32,2017-02-17,2343.01,2351.1599,2339.5801,2351.1599,2351.1599,3513060000.0,0.0,1.0,28.08,40.92,42.40000000000001,42.64,-0.770836032422973
33,2017-02-21,2354.9099,2366.71,2354.9099,2365.3799,2365.3799,3579780000.0,0.0,1.0,34.96,41.85,36.57,20.52,-0.7748371899451592
34,2017-02-22,2361.1101,2365.1299,2358.3401,2362.8201,2362.8201,3468670000.0,0.0,1.0,36.48,45.0,34.980000000000004,18.24,-0.594700469015894
35,2017-02-23,2367.5,2368.26,2355.0901,2363.8101,2363.8101,4015260000.0,0.0,1.0,31.54,42.3,38.69000000000001,17.86,-0.6357674745005101
36,2017-02-24,2355.73,2367.3401,2352.8701,2367.3401,2367.3401,3831570000.0,0.0,1.0,24.7,39.6,39.22,18.24,-0.6919507849088878
37,2017-02-27,2365.23,2371.54,2361.8701,2369.75,2369.75,3582610000.0,0.0,1.0,32.19,42.32,37.26000000000001,19.76,-0.726664475000509
38,2017-02-28,2366.0801,2367.79,2358.96,2363.6399,2363.6399,4210140000.0,0.0,1.0,28.12,42.78,36.72,18.62,-0.757137603899382
39,2017-03-01,2380.1299,2400.98,2380.1299,2395.96,2395.96,4345180000.0,0.0,1.0,32.93,31.74,38.34,38.0,-0.733702387114037
40,2017-03-02,2394.75,2394.75,2380.1699,2381.9199,2381.9199,3821320000.0,0.0,1.0,34.04,30.82,42.12000000000001,20.14,-0.720852104140486
41,2017-03-03,2380.9199,2383.8899,2375.3899,2383.1201,2383.1201,3555260000.0,0.0,1.0,32.56,30.360000000000007,42.12000000000001,17.48,-0.5315891171845729
42,2017-03-06,2375.23,2378.8,2367.98,2375.3101,2375.3101,3232700000.0,0.0,1.0,36.86,34.56,41.08,17.099999999999998,-0.535753723689569
43,2017-03-07,2370.74,2375.1201,2365.51,2368.3899,2368.3899,3518390000.0,0.0,1.0,35.34,34.08,38.48,15.0,-0.6234346972803921
