"","crisis_trend + job_trend + loan_trend + unemploy_trend + default_trend + "
"453",391.53
"454",289.63
"455",370.97
"456",383.12
"457",382.56
"458",377.99
"459",268.52
"460",354.2
"461",374.35
"462",374.42
"463",379.65
"464",283.43
"465",376.96
"466",389.43
"467",385.4
"468",376.55
"469",299.95
"470",401.23
"471",400.91
"472",378.05
"473",400.77
"474",313.23
"475",400.25
"476",402.37
"477",405.69
"478",401.09
"479",287.08
"480",381.65
"481",369.77
"482",337.64
"483",386.29
"484",279.49
"485",340.93
"486",375.79
"487",390.12
"488",359.84
"489",231.64
"490",302.48
"491",295.25
"492",260.02
"493",194.79
"494",298.3
"495",364.66
"496",396.24
"497",411.75
"498",417.58
"499",287.38
"500",388.57
"501",412.52
"502",397.1
"503",398.56
"504",286.31
"505",378.53
"506",382.41
"507",407.46
"508",387.37
"509",268.78
"510",330.57
"511",337.46
"512",327.43
"513",313.12
"514",185.28
"515",196.41
"516",178.22
"517",221.52
"518",236.17
"519",233.29
"520",246.83
"521",198.69
"522",278.55
"523",285.5
"524",267.19
"525",383.35
"526",359.47
"527",381.92
"528",378.42
"529",262.41
"530",353.3
"531",362.71
"532",362.81
"533",361.71
"534",259.57
"535",288.58
"536",351.99
"537",362.95
"538",367.02
"539",301.78
"540",365.34
"541",371.9
"542",374.05
"543",370.36
"544",275.23
"545",343.74
"546",371.9
"547",384.18
"548",373.81
"549",284.97
"550",393.36
"551",373.41
"552",366.14
"553",355
"554",293.93
"555",340.77
"556",376.49
"557",372.46
"558",388.53
"559",306.37
"560",370.31
"561",407.75
"562",403.9
"563",395.94
"564",292.95
"565",380.14
"566",384.98
"567",382.48
"568",379.75
"569",286.96
"570",376.55
"571",376.35
"572",380.94
"573",380.97
"574",283.61
"575",387.4
"576",409.64
"577",394.47
"578",377.38
"579",306.74
"580",404.48
"581",409.22
"582",403.12
"583",402.38
"584",317.79
"585",396.06
"586",398.89
"587",407.67
"588",404.28
"589",325.93
"590",425.26
"591",412.03
"592",401.93
"593",394.62
"594",283.89
"595",369.36
"596",380.58
"597",376.83
"598",366.39
"599",290.69
"600",403.49
"601",417.31
"602",409.02
"603",407.01
"604",292.07
"605",402.63
"606",409.26
"607",409.9
"608",395.95
"609",292.31
"610",400.82
"611",399.29
"612",389.62
"613",400.69
"614",285.16
"615",381.48
"616",396.75
"617",394.25
"618",387.05
"619",268.7
"620",353.51
"621",351.14
"622",339.42
"623",258.86
"624",286.96
"625",350.09
"626",367.37
"627",343.53
"628",294.85
"629",374.49
"630",369.42
"631",362.13
"632",364.34
"633",284.85
"634",361.51
"635",364.82
"636",371.94
"637",362.12
"638",282.3
"639",367.99
"640",377.73
"641",358.14
"642",354.05
"643",284.01
"644",358.02
"645",367.5
"646",376.51
"647",362.8
"648",252.24
"649",312.3
"650",317.94
"651",307.86
"652",247.55
"653",274.63
"654",345.99
"655",364.01
"656",365.51
