,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0.1,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply,wei_dyn_corr,wei_dollar_eur_gen_trend,diff_wei_trend,absdiiff
17,2018-01-16,0.8151,0.8197,0.8138,0.8157,380.0,27.06,24.57,45.08,4.74,73.08,8.74,28.12,68.4,51.8,34.45,18.92,7.35,60.3,77.89999999999998,20.8,42.14,0.6634486643415141,31.291,9.834500000000002,0.09834500000000002
18,2018-01-17,0.8156,0.8216,0.8118,0.8216,381.0,26.73,26.19,43.61,4.32,71.39999999999998,11.02,26.98,63.08,57.4,0.0,18.7,10.35,61.64,80.36,42.25,40.42,0.342865161852268,37.8715,6.580499999999998,0.06580499999999997
19,2018-01-18,0.8217,0.8217,0.8151,0.8166,382.0,29.37,25.65,46.06,4.02,73.92,9.88,30.02,66.88,70.0,26.5,19.58,9.45,61.64,79.53999999999998,31.85,41.71,-0.0956847055538189,35.756,-2.1154999999999973,0.021154999999999972
20,2018-01-19,0.8166,0.8184,0.8131,0.8179,383.0,26.73,25.11000000000001,45.57,3.66,78.96,9.12,33.06,63.08,59.49999999999999,18.02,19.58,8.25,58.290000000000006,76.25999999999998,22.1,39.13,-0.10609643022867099,32.3565,-3.3995000000000037,0.03399500000000004
21,2018-01-22,0.8154,0.8183,0.815,0.8155,386.0,28.44,25.76,49.4,5.7,72.21,7.699999999999997,27.75,77.08,53.81999999999999,10.56,21.36,14.91,66.33,80.64,0.0,44.0,0.165558847417132,25.951,-6.405499999999996,0.06405499999999996
22,2018-01-23,0.8154,0.8179,0.8123,0.8129,387.0,30.6,28.000000000000004,49.4,4.44,80.04,8.049999999999999,29.6,73.8,54.51,10.56,23.04,9.45,64.99000000000001,82.32,0.0,44.0,0.58005177660106,28.054000000000002,2.102999999999998,0.02102999999999998
23,2018-01-24,0.8129,0.8131,0.805,0.8059,388.0,33.84,27.72,52.0,4.02,85.26,8.399999999999999,30.34,82.0,56.58,14.52,24.0,14.91,62.31,84.0,45.44,42.24,0.47218341795326896,43.226000000000006,15.172000000000008,0.15172000000000008
24,2018-01-25,0.8059999999999999,0.8085,0.7976,0.8079999999999999,389.0,33.48,27.44,47.84,3.6,80.91,9.1,28.49,75.44,60.03,21.78,23.76,17.43,61.64,84.0,34.79,41.36,-0.41763757717102795,39.196,-4.030000000000008,0.040300000000000086
25,2018-01-26,0.8079999999999999,0.8079999999999999,0.8004,0.8045,390.0,30.24,24.08,49.4,3.18,77.42999999999998,8.399999999999999,29.6,70.52,55.2,10.89,21.36,19.32,54.94000000000001,79.8,71.0,39.6,-0.184243411778669,47.809,8.613,0.08613
26,2018-01-29,0.8052,0.8102,0.8041,0.8075,393.0,34.58,26.88000000000001,51.94000000000001,5.46,80.10000000000002,9.12,28.5,74.61999999999998,56.58,8.96,23.04,11.52,58.24,82.45,20.16,40.92,-0.4488082281820779,35.093,-12.715999999999996,0.12715999999999997
27,2018-01-30,0.8074,0.8102,0.8028,0.8059,394.0,33.06,27.160000000000004,50.35,4.38,83.7,9.88,29.64,75.44,54.51,8.96,22.08,11.84,58.88,84.14999999999998,30.24,43.56,-0.00765318122758468,38.0255,2.932499999999997,0.02932499999999997
28,2018-01-31,0.8058,0.8069,0.8014,0.8054,395.0,38.0,27.160000000000004,49.82,4.56,81.9,9.5,27.36,74.61999999999998,55.2,27.160000000000004,23.28,9.28,58.24,83.3,40.32,42.68,-0.17284479006110098,42.325,4.299500000000002,0.04299500000000002
29,2018-02-01,0.8054,0.8071,0.7984,0.7994,396.0,12.16,26.6,51.41,4.44,80.10000000000002,38.0,31.54,71.33999999999997,59.34,0.0,20.64,8.16,63.36,83.3,40.32,44.0,-0.368755549115921,34.3045,-8.020500000000006,0.08020500000000005
30,2018-02-02,0.7995,0.8056,0.7986,0.8023,397.0,13.3,23.8,48.76000000000001,4.14,80.10000000000002,37.62,30.78,65.6,55.2,13.72,20.4,7.84,58.88,79.05,49.77,40.48,-0.0253763543648561,36.509,2.204500000000003,0.02204500000000003
31,2018-02-05,0.8041,0.8085,0.8013,0.8077,400.0,12.16,24.03,43.0,5.0,73.92,29.58,22.78,66.22,48.0,15.18,23.75,9.44,54.9,73.86999999999998,43.68,37.38,-0.140387558005118,33.503,-3.006,0.030059999999999996
32,2018-02-06,0.8078,0.8117,0.8044,0.8075,401.0,12.92,27.0,49.0,3.95,88.0,28.9,26.180000000000003,73.96,53.12000000000001,31.020000000000003,21.75,8.96,61.0,80.50999999999998,0.0,40.32,0.06340842892134599,23.226,-10.277,0.10276999999999999
33,2018-02-07,0.8074,0.8163,0.8059999999999999,0.8158,402.0,11.78,26.19,46.5,3.25,80.08,28.9,26.520000000000003,80.84,53.76,15.510000000000002,21.0,9.6,59.78,80.50999999999998,43.68,39.48,0.594226404247155,34.828,11.602000000000006,0.11602000000000005
34,2018-02-08,0.8158,0.8185,0.8131,0.8161,403.0,11.02,25.65,45.5,3.1500000000000004,85.36,30.26,26.180000000000003,80.84,54.4,15.84,22.5,12.8,59.17,80.50999999999998,39.78,39.48,0.11122422159430301,33.746,-1.0820000000000007,0.010820000000000007
35,2018-02-09,0.8162,0.8189,0.8137,0.8158,404.0,11.4,23.49,45.5,2.8000000000000003,80.96,28.9,27.54000000000001,72.24,51.2,0.0,20.5,9.76,45.75,75.53,30.42,35.7,0.0543318756368932,29.964000000000002,-3.782000000000004,0.03782000000000004
36,2018-02-12,0.8158,0.8170000000000001,0.813,0.8134,407.0,11.78,23.14,45.57,3.72,77.44,28.38000000000001,31.92,74.82,56.58,9.12,22.0,8.96,53.58,76.14,31.35,38.54,0.358540961919118,29.9035,-0.06049999999999756,0.0006049999999999757
37,2018-02-13,0.8134,0.8137,0.8081,0.8095,408.0,11.78,24.7,49.0,2.88,83.6,26.73,29.64,78.26,55.88999999999999,8.93,22.5,10.08,50.73,77.76,20.9,39.77,0.396196213637323,28.024,-1.8795,0.018795
38,2018-02-14,0.8095,0.8142,0.8021,0.8027,409.0,11.02,22.1,41.16,2.4,78.32000000000002,25.08,29.64,67.08,49.67999999999999,9.12,21.25,9.44,43.31999999999999,72.09,42.35,34.44,0.5154355801643401,32.531,4.506999999999998,0.04506999999999998
39,2018-02-15,0.8027,0.8029999999999999,0.799,0.7996,410.0,12.92,23.14,44.59,2.36,80.96,27.06,34.58,78.26,69.0,0.0,23.0,8.96,45.03,76.95,21.450000000000006,37.31,0.171601102814187,27.5785,-4.9525000000000015,0.04952500000000001
40,2018-02-16,0.7997,0.8071,0.7962,0.8053,411.0,11.78,21.32,44.59,2.0,80.96,26.73,34.58,73.1,64.86,9.31,20.25,8.16,46.17,73.71000000000002,55.00000000000001,34.03,0.507396797366882,36.7555,9.177,0.09176999999999999
41,2018-02-19,0.8053,0.8082,0.804,0.8057,414.0,18.56,21.58,43.12,3.2,62.9,28.05,31.92,71.28,64.8,28.000000000000004,20.25,12.78,52.2,74.52000000000002,18.33,35.66999999999999,-0.0804701466982761,25.987,-10.7685,0.10768499999999999
42,2018-02-20,0.8057,0.8114,0.8052,0.8103,415.0,33.28,25.48,45.08,3.08,76.5,28.05,30.78,80.96,66.96,13.44,22.25,13.86,53.36,77.76,0.0,38.13,0.48914006647138103,27.531999999999996,1.5450000000000017,0.015450000000000018
43,2018-02-21,0.8104,0.8144,0.809,0.8143,416.0,64.0,24.96,44.59,2.64,79.05,30.69,30.02,75.68,63.36,20.160000000000004,22.5,9.9,55.1,78.57000000000002,26.79,39.77,0.44565831273542,44.8595,17.327499999999993,0.17327499999999993
44,2018-02-22,0.8144,0.8154,0.8094,0.8108,417.0,40.32,24.18,47.53,2.28,77.35,29.37,29.26,76.56,68.39999999999999,13.44,22.0,14.4,50.46,77.76,0.0,39.36,-0.330371519978513,29.4615,-15.397999999999994,0.15397999999999995
45,2018-02-23,0.8108,0.8141,0.81,0.8132,418.0,26.88,21.84,43.61,2.0,74.8,25.08,33.06,79.2,66.96,13.44,22.25,13.14,44.08,72.09,18.33,34.44,0.22364563674694396,29.7755,0.3140000000000001,0.0031400000000000013
46,2018-02-26,0.8135,0.8140000000000001,0.8091,0.8118,421.0,18.0,26.6,46.92,3.64,75.69,25.92,29.4,85.53999999999998,61.2,23.1,29.0,23.0,55.1,82.17,36.54,40.85,0.31997316736458803,34.257,4.481499999999997,0.044814999999999966
47,2018-02-27,0.8119,0.8179,0.8098,0.8170000000000001,422.0,17.55,26.88000000000001,49.47,2.72,79.17,27.52,27.3,94.0,57.8,15.510000000000002,27.55,18.17,53.36,83.0,22.04,42.57,0.0353003632336381,30.3315,-3.9255,0.039255
48,2018-02-28,0.8171,0.8201,0.8167,0.8198,423.0,18.0,26.6,48.45,2.4,81.78,26.56,26.6,91.18,59.84,15.84,28.42,14.49,52.78,81.33999999999997,22.04,41.71,0.30665095164331796,30.5925,0.2610000000000028,0.0026100000000000277
49,2018-03-01,0.8199,0.8223,0.8144,0.8145,424.0,45.0,28.000000000000004,48.45,2.6,80.91,29.12,25.2,88.36,64.60000000000001,0.0,20.59,2.3000000000000003,50.46,81.33999999999997,19.14,41.71,0.317109079798879,38.1555,7.563000000000002,0.07563000000000003
