date,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply
2017-01-27,2017-01-27,0.9361,0.9378,0.9321,0.9345,26.0,27.88000000000001,25.5,46.92,3.48,84.6,22.26,26.0,74.82,35.64,0.0,25.48,10.53,45.0,77.35,18.36,37.8
2017-01-30,2017-01-30,0.9333,0.9412,0.9309,0.9342,29.0,39.0,26.7,47.84,5.22,79.8,19.38,27.20000000000001,82.72,36.04,16.32,27.0,10.79,35.5,78.11999999999998,26.65,44.18
2017-01-31,2017-01-31,0.9342,0.9356,0.9248,0.9259999999999999,30.0,39.0,29.4,52.0,4.44,85.5,18.62,27.6,81.84,32.64,11.04,27.0,13.0,40.47,84.0,19.68,47.0
2017-02-01,2017-02-01,0.9259999999999999,0.9311,0.9251,0.9285,31.0,35.49,30.0,52.0,4.92,95.0,26.98,35.2,80.08,54.40000000000001,0.0,25.65,8.71,71.0,84.0,19.68,47.0
2017-02-02,2017-02-02,0.9284,0.9296,0.9235,0.929,32.0,33.15,28.5,50.96,4.5,91.2,24.7,35.6,79.2,53.72000000000001,7.68,27.0,13.0,58.93,83.16,20.09,42.3
2017-02-03,2017-02-03,0.9289,0.9319,0.9259,0.9271,33.0,34.71,27.6,49.92,4.56,87.39999999999998,23.18,33.2,73.92,52.36000000000001,0.0,25.38000000000001,10.14,53.25,78.96,20.91,39.01
2017-02-06,2017-02-06,0.927,0.9337,0.9266,0.9297,36.0,28.35,24.36000000000001,42.72,5.0,80.91000000000003,20.4,30.03,69.72,51.74999999999999,0.0,22.36,7.8000000000000025,42.92,76.14,24.91,36.12
2017-02-07,2017-02-07,0.9302,0.9381,0.9299,0.9359999999999999,37.0,31.15,26.04000000000001,45.6,4.4,85.56,21.76,30.81,75.6,55.2,15.36,24.7,13.0,46.98,78.57000000000002,37.63,37.84
2017-02-08,2017-02-08,0.9359999999999999,0.9395,0.9333,0.9345,38.0,31.85,27.160000000000004,43.68,3.65,93.0,20.74,35.49,72.24,58.65,7.92,24.7,12.22,48.72,78.57000000000002,25.97,38.27
2017-02-09,2017-02-09,0.9342,0.9386,0.9333,0.9382,39.0,26.25,25.480000000000004,43.68,3.1,83.7,21.76,35.1,73.92,58.65,7.68,23.14,10.79,43.5,77.76,53.0,37.41
2017-02-10,2017-02-10,0.9383,0.9423,0.937,0.9396,40.0,29.4,24.08,42.24,3.2,79.98,20.4,32.370000000000005,71.39999999999998,55.88999999999999,8.16,23.14,12.22,38.28,73.71000000000002,26.5,37.84
2017-02-13,2017-02-13,0.9403,0.9439,0.9377,0.9435,43.0,30.34,24.36000000000001,43.2,5.0,83.72,24.48,27.36,73.08,54.27,11.52,22.5,8.97,38.88,71.2,0.0,34.86
2017-02-14,2017-02-14,0.9435,0.9466,0.9403,0.9451,44.0,31.45,24.36000000000001,41.28,3.9,82.8,22.68,26.28,72.21,53.6,7.68,22.0,8.19,34.02,72.0,31.36,33.18
2017-02-15,2017-02-15,0.9451,0.9501,0.9425,0.9438,45.0,37.0,25.480000000000004,44.64,3.75,86.48,23.4,28.8,82.65,56.28,8.16,24.0,9.75,41.040000000000006,76.80000000000003,0.0,36.96
2017-02-16,2017-02-16,0.9439,0.9439,0.9359999999999999,0.9371,46.0,29.97,26.6,46.08,3.4000000000000004,91.08,23.76,30.24,81.78,58.290000000000006,0.0,23.75,10.14,37.8,78.4,15.36,36.12
2017-02-17,2017-02-17,0.937,0.9426,0.9362,0.9417,47.0,29.6,24.36000000000001,43.2,3.0500000000000003,83.72,22.68,30.6,73.95,52.26000000000001,0.0,21.25,10.14,36.18,72.0,15.68,34.02
2017-02-20,2017-02-20,0.9414,0.9427,0.9401,0.9420000000000001,50.0,28.8,22.68,41.76,4.25,72.9,24.12,35.49,74.76,73.26,0.0,19.44,8.52,39.76000000000001,73.60000000000002,22.95,34.4
2017-02-21,2017-02-21,0.9420000000000001,0.9498,0.9418,0.9486,51.0,35.28,26.19,45.12,4.45,82.8,21.96,33.54,89.0,74.0,60.8,22.08,10.8,43.68000000000001,77.60000000000002,32.4,38.7
2017-02-22,2017-02-22,0.9489,0.9526,0.9454,0.9472,52.0,30.6,25.38000000000001,45.6,3.85,88.2,23.04,35.49,84.55,65.12,30.4,21.84,8.16,43.68000000000001,77.60000000000002,44.1,41.28
2017-02-23,2017-02-23,0.9470000000000001,0.9487,0.9436,0.945,53.0,29.88,24.840000000000003,43.68,3.1,81.9,23.04,32.76,83.66,59.94,31.35,21.36,9.36,38.64,75.2,22.05,32.68
2017-02-24,2017-02-24,0.9451,0.9474,0.9416,0.9472,54.0,24.48,22.14,42.72,2.6,75.60000000000002,23.04,33.15,77.43,57.72,95.0,20.64,8.76,32.480000000000004,71.2,0.0,32.68
2017-02-27,2017-02-27,0.9467,0.9475,0.9405,0.9443,57.0,30.71,24.03,45.08,3.96,79.8,39.0,28.44,83.7,56.7,11.1,26.46,9.72,39.05,73.71000000000002,27.9,36.98
2017-02-28,2017-02-28,0.9443,0.946,0.9406,0.9455,58.0,31.82,25.11000000000001,47.04,3.0,88.35,28.08,30.24,85.5,60.2,11.47,26.46,9.24,39.6,78.57000000000002,58.28,38.7
2017-03-01,2017-03-01,0.9455,0.9508,0.9443,0.9476,59.0,33.67,24.57,42.63,2.8000000000000003,94.05,33.15,23.76,86.4,70.0,0.0,25.92,7.92,52.8,76.95,24.18,39.99
2017-03-02,2017-03-02,0.9475,0.9525,0.9475,0.9515,60.0,32.56,24.840000000000003,42.14,2.44,89.3,31.59,22.68,88.2,60.9,17.759999999999994,26.46,8.879999999999997,49.50000000000001,76.95,0.0,43.0
2017-03-03,2017-03-03,0.9515,0.9518,0.9408,0.9413,61.0,28.49,23.49,41.65,2.28,82.64999999999998,31.98,21.6,72.0,58.1,18.87,25.11000000000001,9.72,41.8,71.28,26.04,38.27
