"","0.3 * crisis_trend + 0.3 * job_trend + 0.05 * loan_trend + 0.1 * "
"434",22.687
"435",29.146
"436",24.79
"437",24.912
"438",27.065
"439",38.009
"440",35.869
"441",38.017
"442",35.801
"443",37.295
"444",39.3085
"445",37.288
"446",41.5135
"447",34.1125
"448",25.404
"449",28.82
"450",41.902
"451",30.962
"452",34.617
"453",32.224
"454",37.08
"455",35.845
"456",32.8565
"457",38.3675
"458",33.2265
"459",25.2215
"460",40.566
"461",35.701
"462",36.154
"463",37.735
"464",38.193
"465",44.218
"466",35.202
"467",35.354
"468",33.072
"469",28.608
"470",32.864
"471",27.261
"472",31.913
"473",30.209
"474",41.6795
"475",38.371
"476",39.294
"477",39.7705
"478",48.8665
"479",36.83
"480",27.486
"481",38.345
"482",39.469
"483",34.089
"484",25.372
"485",33.079
"486",35.022
"487",31.949
"488",30.016
"489",23.797
"490",19.548
"491",20.47
"492",15.15
"493",16.215
"494",34.7145
"495",39.9105
"496",43.897
"497",39.8785
"498",26.7
"499",26.301
"500",33.552
"501",34.944
"502",40.702
"503",30.534
"504",26.185
"505",31.007
"506",37.414
"507",32.523
"508",29.387
"509",27.47
"510",30.876
"511",28.047
"512",25.087
"513",22.787
"514",9.4005
"515",16.7805
"516",19.325
"517",19.492
"518",13.248
"519",18.837
"520",11.305
"521",17.899
"522",24.694
"523",24.472
"524",34.167
"525",27.589
"526",48.024
"527",30.038
"528",40.164
"529",27.7005
"530",32.7205
"531",32.6815
"532",27.8205
"533",34.4825
"534",19.82
"535",29.22
"536",29.91
"537",26.854
"538",33.588
"539",26.519
"540",31.5555
"541",31.7335
"542",41.392
"543",31.564
"544",30.1275
"545",32.9565
"546",33.108
"547",38.865
"548",30.945
"549",29.368
"550",31.216
"551",28.262
"552",31.887
"553",34.24
"554",28.643
"555",32.475
"556",32.262
"557",32.61
"558",30.288
"559",27.755
"560",38.1305
"561",36.9465
"562",28.9735
"563",35.3975
"564",32.885
"565",29.167
"566",49.284
"567",34.5735
"568",32.826
"569",29.082
"570",31.248
"571",29.62
"572",30.672
"573",31.206
"574",32.636
"575",29.809
"576",33.549
"577",34.167
