"","x"
"1",0.401646280299349
"2",0.524189888511868
"3",0.629237584134779
"4",0.578172807598067
"5",0.548698771824369
"6",0.587961861889235
"7",0.577444913624584
"8",0.648679534912391
"9",0.353626175528328
"10",0.392644475550851
"11",0.312650904034455
"12",0.483880576086394
"13",0.213572084485751
"14",0.085592886108062
"15",0.228434068593594
"16",0.265038307808768
"17",0.568447122341412
"18",0.663448664341514
"19",0.342865161852268
"20",-0.0956847055538189
"21",-0.106096430228671
"22",0.165558847417132
"23",0.58005177660106
"24",0.472183417953269
"25",-0.417637577171028
"26",-0.184243411778669
"27",-0.448808228182078
"28",-0.00765318122758468
"29",-0.172844790061101
"30",-0.368755549115921
"31",-0.0253763543648561
"32",-0.140387558005118
"33",0.063408428921346
"34",0.594226404247155
"35",0.111224221594303
"36",0.0543318756368932
"37",0.358540961919118
"38",0.396196213637323
"39",0.51543558016434
"40",0.171601102814187
"41",0.507396797366882
"42",-0.0804701466982761
"43",0.489140066471381
"44",0.44565831273542
"45",-0.330371519978513
"46",0.223645636746944
"47",0.319973167364588
"48",0.0353003632336381
"49",0.306650951643318
"50",0.317109079798879
"51",-0.303662150895321
"52",-0.0367413194520879
"53",0.113324296442478
"54",-0.496441225176251
"55",-0.0729649339933001
"56",-0.132417634879199
"57",0.12895463366477
"58",0.196883182814715
"59",0.17261737492786
"60",0.027809385139026
"61",0.497454755822048
"62",0.183892032814501
"63",-0.150724267255871
"64",-0.0820323647448122
"65",-0.0572035190581724
"66",-0.115813440779076
"67",0.0604057723819009
"68",0.475611371646275
"69",0.0369062246556031
"70",-0.251267362830651
"71",-0.167469721533922
"72",0.356591872474346
"73",-0.200476479752958
"74",0.33254656914347
"75",0.386543552237851
"76",0.182553844821543
"77",0.345706504595644
"78",0.210643231918494
"79",-0.22284835129916
"80",-0.212648901446693
"81",-0.276674317027913
"82",-0.0215889780890965
"83",-0.255599087291908
"84",-0.395474550327654
"85",-0.33021959247967
"86",-0.362552197610673
"87",-0.285886394491663
"88",-0.21957729917728
"89",-0.268959006268738
"90",-0.222493936858328
"91",0.194353461924636
"92",0.00156487521073196
"93",-0.172082853381937
"94",0.062241203176992
"95",-0.000122385791583276
"96",0.406982777912441
"97",0.411516123330286
"98",0.10447871942767
"99",0.0281297870086132
"100",-0.0496345693776712
"101",-0.222295076330241
"102",0.0249759961216337
"103",-0.15238035769525
"104",-0.0309838007611974
"105",0.12502720084476
"106",0.247160993525937
"107",0.23236366023617
"108",0.174988238772248
"109",0.0399495758965981
"110",0.0437494753176692
"111",0.0383928873525046
"112",-0.324906635068
"113",-0.515265418321845
"114",0.164158041948311
"115",-0.0238131230988834
"116",0.228392098677698
"117",-0.264835559386165
"118",0.364998404269224
"119",0.44856001948722
"120",0.19317643498526
"121",0.193901227660861
"122",0.219101694771176
"123",0.0854382585107334
"124",0.439745310139134
"125",-0.0957552731419064
"126",0.0567265548272587
"127",0.045642203689548
"128",0.252022036163538
"129",0.0857578565283331
"130",0.409581331725474
"131",0.170064551886295
"132",-0.0852475349263223
"133",0.110896051333996
"134",0.321346094305923
"135",-0.129739681438529
"136",-0.012286035130223
"137",-0.149823265708721
"138",0.0668679698835968
"139",0.275625080226073
"140",-0.181389736651806
"141",-0.302463864787572
"142",-0.13334804597061
"143",0.0887067738350586
"144",0.0993268755914132
"145",0.10454521461295
"146",0.465046812445951
"147",0.129725044290143
"148",0.0798118248583147
"149",0.0178663658018053
"150",0.0211611569005773
"151",0.0107335221212296
"152",-0.00657743843252682
"153",0.0358309394936554
"154",0.0346654273672126
"155",0.0434375168911193
"156",-0.503422833935902
"157",-0.129713882599157
"158",0.0897103727345529
"159",0.396837818980589
"160",0.142559994761901
"161",-0.439119802253016
"162",-0.250983766684006
"163",0.37727683627966
"164",0.393763598748937
"165",0.356282830353906
"166",0.475789435107855
"167",0.103032586203071
"168",0.305255657315427
"169",0.374102068518606
"170",0.416430146115682
"171",0.496045184451535
"172",-0.0917037423005001
"173",-0.0406742817384753
"174",-0.210298781438015
"175",0.200669170054785
"176",-0.239519970770236
"177",-0.160026715669626
"178",-0.216030644699057
"179",0.03075205197254
"180",-0.184054897491526
"181",-0.0681067055057344
"182",-0.320985543735914
"183",-0.409224804406433
"184",-0.315719501959452
"185",-0.341540144631023
"186",-0.410214052177922
"187",-0.410480665448725
"188",0.0340384580803763
"189",0.211626131148027
"190",0.354433083705085
"191",0.289244250340052
"192",0.460808234853761
"193",0.422832808106095
"194",0.407485135239231
"195",0.522667884839102
"196",0.286867980839764
"197",-0.16193876667104
"198",-0.0546426072811132
"199",-0.0874339555211876
"200",-0.00701899909627501
"201",0.190126619242905
"202",0.0722258874596238
"203",0.341677875884067
"204",0.357678062225166
"205",0.159228822245831
"206",0.369983738772178
"207",0.201392529331463
"208",-0.32353569634441
"209",0.197449168296189
"210",0.236862611629298
"211",0.280726847210278
"212",0.427499756056088
"213",0.447316664318919
"214",0.569917376095099
"215",0.369600652978133
"216",0.326967087099642
"217",0.184055732023715
"218",-0.252260571487548
"219",-0.071197670890847
"220",-0.379677021833026
"221",-0.191178960519447
"222",-0.192848775467144
"223",0.429238116399156
"224",0.441452438691142
"225",0.490395897702326
"226",0.470572913708217
"227",0.607002211639769
"228",0.407465137171875
"229",-0.0355445088064232
"230",0.284179167626245
"231",0.476771063345483
"232",0.274143048723933
"233",-0.370870388397838
"234",-0.0995889314800814
"235",0.15250589208081
"236",0.0154686569252727
"237",-0.127381339862864
"238",-0.412025311618097
"239",-0.57891502740607
"240",-0.497961719586999
"241",-0.518725266027745
"242",-0.528134247695986
"243",-0.0976261652532954
"244",0.343565227976339
"245",0.480371362664567
"246",0.439258677835612
"247",-0.226727629948897
"248",-0.329109185026984
"249",-0.00315677902488797
"250",0.19826083116867
"251",0.480066743842133
"252",0.0185105688550351
"253",-0.385579731947202
"254",-0.185661375350346
"255",0.282992322310047
"256",0.0663875796404966
"257",-0.26136331118223
"258",-0.347112041020836
"259",-0.185394569687199
