date,hiring,work,usajob,apply
2017-04-14,37.169999999999995,63.18,11.73,36.54
2017-04-15,28.32,55.38,0.0,28.56
2017-04-16,27.259999999999998,56.09,9.62,28.98
2017-04-17,46.98,71.89,7.77,40.32
2017-04-18,48.13999999999999,74.26,15.17,41.16
2017-04-19,46.4,73.47,7.4,40.74
2017-04-20,45.239999999999995,74.26,7.77,36.54
2017-04-21,38.86,68.73,7.77,33.6
2017-04-22,33.059999999999995,61.620000000000005,0.0,31.5
2017-04-23,34.8,65.6,30.5,32.25
2017-04-24,47.4,77.08,0.0,39.56
2017-04-25,48.6,77.08,12.2,43.0
2017-04-26,46.8,79.53999999999999,12.2,41.71
2017-04-27,47.4,82.0,25.009999999999998,39.13
2017-04-28,39.0,72.16,18.91,34.83
2017-04-29,33.6,61.49999999999999,61.0,29.669999999999998
2017-04-30,33.6,64.0,24.42,31.82
2017-05-01,48.0,78.4,18.48,42.14
2017-05-02,49.199999999999996,80.0,18.48,39.56
2017-05-03,49.199999999999996,79.2,19.14,43.0
2017-05-04,49.199999999999996,79.2,56.1,38.7
2017-05-05,42.0,72.8,48.84,35.69
2017-05-06,34.8,64.0,23.1,32.25
2017-05-07,36.58,63.910000000000004,22.05,28.98
2017-05-08,54.56,74.69,18.27,40.32
2017-05-09,52.08,76.23,27.09,40.32
2017-05-10,49.6,76.23,18.27,37.8
2017-05-11,47.12,76.23,18.27,36.12
2017-05-12,42.78,69.3,18.9,33.18
2017-05-13,35.339999999999996,59.29,22.68,29.4
2017-05-14,32.86,57.75,13.32,27.06
2017-05-15,53.32,74.69,11.16,37.309999999999995
2017-05-16,54.56,77.0,10.799999999999999,38.54
2017-05-17,50.839999999999996,73.92,11.16,38.54
2017-05-18,50.839999999999996,71.61,0.0,35.26
2017-05-19,45.88,68.53,11.52,32.8
2017-05-20,37.2,57.75,26.64,28.29
2017-05-21,37.8,59.28,22.04,30.34
2017-05-22,56.07,69.16,23.779999999999998,35.669999999999995
2017-05-23,57.33,71.44,23.2,39.36
2017-05-24,51.660000000000004,70.68,17.98,35.26
2017-05-25,51.660000000000004,70.68,17.98,37.309999999999995
2017-05-26,44.1,66.12,57.99999999999999,32.39
2017-05-27,35.910000000000004,59.28,0.0,28.29
2017-05-28,35.2,57.0,0.0,24.8
2017-05-29,38.4,60.04,21.24,28.0
2017-05-30,64.0,72.2,35.989999999999995,38.400000000000006
2017-05-31,60.160000000000004,70.68,0.0,38.400000000000006
2017-06-01,56.96,72.96000000000001,40.12,35.6
2017-06-02,51.2,69.16,37.169999999999995,32.4
2017-06-03,41.6,62.32,43.66,26.8
2017-06-04,43.52,63.08,0.0,28.98
2017-06-05,62.56,72.2,28.4,36.96
2017-06-06,66.64,72.96000000000001,41.89,38.64
2017-06-07,64.60000000000001,75.24,56.8,42.0
2017-06-08,61.88,70.68,28.4,36.96
2017-06-09,53.720000000000006,69.92,29.82,33.18
2017-06-10,40.120000000000005,59.28,34.79,29.82
2017-06-11,44.89,63.910000000000004,31.0,27.88
2017-06-12,64.32000000000001,74.69,62.0,37.309999999999995
2017-06-13,62.980000000000004,73.92,24.8,36.489999999999995
2017-06-14,64.32000000000001,74.69,24.8,38.949999999999996
