,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel,dynamic_corr,gen_trend,dynamic_corr_gen,diff_gen_trend
0,2018-01-03,59.15,59.15,59.15,59.15,11.83,49.0,0.0,1.0,56.7,26.24,2.49,44.46,2.95,40.3,0.248456400172154,49.2775,0.610905021315052,
1,2018-01-04,59.15,59.15,59.15,59.15,11.83,0.0,0.0,1.0,54.81,24.6,1.74,43.31999999999999,3.5,42.9,0.150485261671362,48.6045,0.668319455376249,-0.6730000000000018
2,2018-01-05,60.44,60.44,60.44,60.44,12.088,100.0,0.0,1.0,56.07,24.6,1.53,44.46,3.0500000000000003,41.6,0.0270211767541887,49.145,0.686442802065261,0.5405000000000015
3,2018-01-08,60.44,60.44,60.44,60.44,12.088,0.0,0.0,1.0,51.24,39.42,3.5,56.8,4.69,33.64,0.0855258710042517,44.73100000000001,0.751192727044805,-4.413999999999994
4,2018-01-09,61.41,61.83,61.41,61.83,12.366,270.0,0.0,1.0,49.41,39.42,2.3000000000000003,62.48,4.41,33.64,0.21076754029353,43.7655,0.377411843822553,-0.9655000000000058
5,2018-01-10,62.25,62.48,62.2301,62.48,12.496,731.0,0.0,1.0,54.29,41.040000000000006,2.6,71.0,6.0200000000000005,35.96,0.4190912429059029,47.9585,0.147605169852981,4.192999999999998
6,2018-01-11,62.5,62.5,62.5,62.5,12.5,252.0,0.0,1.0,51.24,42.12000000000001,5.0,64.61,7.000000000000001,36.54,0.7070662252081109,45.9215,0.751681282361468,-2.036999999999999
7,2018-01-12,62.4548,62.4548,62.4548,62.4548,12.491,240.0,0.0,1.0,48.8,39.42,3.85,58.22,5.95,37.7,0.618757271755106,44.2485,0.574207742301599,-1.6730000000000018
8,2018-01-16,62.75,62.75,62.75,62.75,12.55,2489.0,0.0,1.0,46.61,39.96,3.5,44.02,4.4,33.059999999999995,0.40839028169524,40.9375,0.32387753790986,-3.311
9,2018-01-17,63.09,63.09,63.0527,63.0527,12.6105,432.0,0.0,1.0,44.25,39.96,3.1500000000000004,48.36,3.65,32.48,-0.60863104540266,39.458,-0.716155411735734,-1.4795000000000016
10,2018-01-18,62.73,62.92,62.73,62.9177,12.5835,4228.0,0.0,1.0,46.02,44.28,3.0,50.84,3.2,35.37999999999999,-0.6743844931466151,41.45,-0.8138881027663399,1.9920000000000044
11,2018-01-19,62.48,62.48,62.4678,62.4678,12.4936,3484.0,0.0,1.0,48.38,42.12000000000001,2.15,50.84,2.85,34.22,-0.53551008709624,42.65150000000001,-0.645516601669452,1.20150000000001
12,2018-01-22,62.4678,62.4678,62.4678,62.4678,12.4936,5.0,0.0,1.0,48.0,56.7,1.44,58.48,3.54,36.58,-0.534539001668885,43.341,-0.474059769520603,0.6894999999999882
13,2018-01-23,62.4678,62.4678,62.4678,62.4678,12.4936,0.0,0.0,1.0,48.6,57.33,2.08,57.12000000000001,3.84,34.22,0.0257998046369222,43.105,-0.16715178104052406,-0.2360000000000042
14,2018-01-24,62.4678,62.4678,62.4678,62.4678,12.4936,214.0,0.0,1.0,47.4,59.22,3.24,66.64,4.92,33.629999999999995,-0.0801369535754914,42.7115,-0.252781698599174,-0.39349999999999596
15,2018-01-25,65.21,65.21,64.49,64.49,12.898,1005.0,0.0,1.0,48.0,54.81,2.8000000000000003,60.52,4.92,35.4,0.511091360952599,43.21600000000001,-0.444996978157126,0.5045000000000073
