date,amount,price,sid,symbol,value
2020-02-12 23:59:59.999989+00:00,-200,10.6,0,dataset2_oil,2120.0
2020-02-18 23:59:59.999989+00:00,100,10.53,0,dataset2_oil,-1053.0
2020-02-19 23:59:59.999989+00:00,-100,10.91,0,dataset2_oil,1091.0
2020-03-05 23:59:59.999989+00:00,200,9.62,0,dataset2_oil,-1923.9999999999998
2020-03-12 23:59:59.999989+00:00,-200,6.5,0,dataset2_oil,1300.0
2020-03-19 23:59:59.999989+00:00,200,4.74,0,dataset2_oil,-948.0
2020-03-23 23:59:59.999989+00:00,-100,4.71,0,dataset2_oil,471.0
2020-03-24 23:59:59.999989+00:00,-100,5.1,0,dataset2_oil,509.99999999999994
2020-03-26 23:59:59.999989+00:00,200,4.83,0,dataset2_oil,-966.0
2020-04-02 23:59:59.999989+00:00,-200,4.5,0,dataset2_oil,900.0
2020-04-06 23:59:59.999989+00:00,200,5.5,0,dataset2_oil,-1100.0
2020-04-23 23:59:59.999989+00:00,-200,2.67,0,dataset2_oil,534.0
