,Trump,trump,hamburger,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef
23,0.022222222222222143,0.022222222222222143,0.1607142857142856,0.008073223991221123,0.005133963794362595,0.009367299675775875,0.0047084446337459784,0.0047084446337459784,0.059702247726082236,,0.0
24,1.1739130434782608,1.1739130434782608,-0.09230769230769231,0.002459334157057791,-0.00032855296497236175,4.401566796241596e-05,-0.0022244584870511064,-0.0022244584870511064,-0.02464309086262051,,0.0
25,-0.49,-0.49,-0.03389830508474567,-0.0064057329847717615,-0.006851516140817138,-0.013541802527092806,-0.009357155327548328,-0.009357155327548328,0.18049408383702548,,0.0
26,-0.11764705882352944,-0.11764705882352944,-0.07017543859649134,-0.009262050464944438,-0.0041370635255482124,-0.002020608352001685,0.0006762254947247914,0.0006762254947247914,-0.11639496620311307,,0.0
27,0.07609427609427599,0.07609427609427599,0.10062893081761026,0.007443209398326767,0.003685244336917304,0.008188400898326842,0.0007090787150494382,0.0007090787150494382,-0.071876388954071,,0.0
28,0.2340425531914896,0.2340425531914896,0.016666666666666607,0.0037642679458880224,0.01108879527602502,0.006960636735841241,0.012890250202966858,0.012890250202966858,0.13854971936096994,,0.0
29,-0.18965517241379315,-0.18965517241379315,-0.11475409836065575,0.010170350870291722,0.004970617205164896,0.009556932151246977,0.003023976857468691,0.003023976857468691,-0.041016048508661695,,0.0
30,0.06382978723404253,0.06382978723404253,-0.05555555555555558,-0.002472457550085516,-0.0014302731346643727,-0.006330390279171372,-0.0026516238471793185,-0.0026516238471793185,0.0452030500412719,,0.0
31,0.6800000000000002,0.6800000000000002,0.196078431372549,0.006101694915254141,0.006439682600517971,0.010621588075702126,0.010878746271483442,0.010878746271483442,-0.05091093908827904,,0.0
32,-0.42226890756302526,-0.42226890756302526,0.11405152224824366,0.0032750775294903,0.004204477645117777,0.002554125728197576,0.0014987389573879462,0.0014987389573879462,-0.02956579529133263,,0.0
33,-0.09090909090909094,-0.09090909090909094,-0.04477611940298509,0.003527992835682836,0.0009147822139903283,0.0024464729030930776,0.0017771318387196366,0.0017771318387196366,0.08538901041681402,,0.0
34,-0.09999999999999998,-0.09999999999999998,-0.09375,0.0004282038826215473,-0.002974966771867038,-0.0034282242118690576,-0.0035264480913562712,-0.0035264480913562712,-0.07189247676283095,,0.0
35,-0.022222222222222254,-0.022222222222222254,-0.12068965517241381,0.00015462693868162347,0.004536953654507236,0.005266716102078073,0.006411088278090782,0.006411088278090782,-0.03705358020737648,,0.0
36,-0.030303030303030165,-0.030303030303030165,0.11764705882352944,0.008516005441710384,0.006903585999570527,0.005714023348697195,0.001231867754939442,0.001231867754939442,0.10985731414518307,,0.0
37,0.09999999999999987,0.09999999999999987,0.07017543859649122,-0.00427550040916802,-0.0036857781616425056,-0.0019749623433357177,-0.0007904552828588152,-0.0007904552828588152,-0.04171507578107336,,0.0
38,0.6136363636363635,0.6136363636363635,0.016393442622950838,-0.001740499013719532,-0.0026256812899311255,-0.005140797355769999,-0.0005440423975103803,-0.0005440423975103803,0.03331340106646774,,0.0
39,-0.05633802816901401,-0.05633802816901401,0.0,0.00021886995515685292,-0.0007260995221335387,0.002659371008182365,-0.0028255109557263625,-0.0028255109557263625,0.16718297483760858,,0.0
40,0.4328358208955223,0.4328358208955223,0.17741935483870974,0.0036260763159963183,0.005115025431949416,0.001750182389281596,0.006895302191783692,0.006895302191783692,-0.09657874926369081,,0.0
41,-0.2001953125,-0.2001953125,0.07582481188500889,0.0057715619215072955,0.0031552125697109634,-0.007074744278668277,-0.003880529012855405,-0.003880529012855405,-0.013209038637759685,,0.0
42,-0.07692307692307698,-0.07692307692307698,-0.024390243902439046,-0.0070922441934697655,-0.00725625540513819,0.00553178517345998,-0.0011315484715557211,-0.0011315484715557211,-0.08523882535122873,,0.0
