,Trump,Donald Trump,President of USA,open_spx,high_spx,low_spx,sp500_h,volume_spx,DateTime,youwilldie
0,,,,,,,,,,
1,1.0,0.0,0.0,0.0,0.7300000000000182,2.2400000000002365,2.0801000000001295,5.120100000000093,0 days 01:00:00.000000000,0.0
2,3.0,1.0,0.0,0.0,5.050000000000182,-0.8598999999999251,2.159899999999652,-4.449900000000071,0 days 01:00:00.000000000,0.0
3,2.0,1.0,0.0,0.0,-4.5300000000002,-3.150100000000293,0.37010000000009313,0.589799999999741,0 days 01:00:00.000000000,0.0
4,1.0,0.0,0.0,0.0,0.5797999999999774,0.10010000000011132,-1.0599999999999454,-1.9899000000000342,0 days 01:00:00.000000000,0.0
5,1.0,0.0,0.0,0.0,-1.959899999999834,1.7100000000000364,0.659900000000107,4.25,0 days 01:00:00.000000000,0.0
6,1.0,0.0,0.0,0.0,4.219900000000052,-0.4600000000000364,-0.5298000000002503,-5.290099999999711,0 days 01:00:00.000000000,0.0
7,-9.0,-2.0,0.0,0.0,-3.5898000000001957,6.800000000000182,0.5597999999999956,6.580099999999675,0 days 18:00:00.000000000,0.0
8,2.0,0.0,0.0,0.0,4.909900000000107,-2.120100000000093,1.6802000000002408,0.3000000000001819,0 days 01:00:00.000000000,0.0
9,3.0,1.0,0.0,0.0,5.0801000000001295,14.040099999999711,6.099899999999707,15.339899999999943,0 days 01:00:00.000000000,0.0
10,5.0,1.0,0.0,0.0,10.549799999999777,-1.2300000000000182,11.22990000000027,-1.6298999999999069,0 days 01:00:00.000000000,0.0
11,5.0,1.0,0.0,0.0,-1.609899999999925,-0.5399999999999636,-0.47990000000027067,0.5500000000001819,0 days 01:00:00.000000000,0.0
12,4.0,0.0,0.0,0.0,0.5100000000002183,7.870100000000093,1.9699000000000524,8.4699999999998,0 days 01:00:00.000000000,0.0
13,10.0,2.0,0.0,0.0,8.5,-0.23999999999978172,-5.219900000000052,-13.679900000000089,0 days 01:00:00.000000000,0.0
14,-37.0,-7.0,0.0,0.0,-0.5,5.699900000000071,13.5,17.490000000000236,0 days 18:00:00.000000000,0.0
15,0.0,0.0,0.0,0.0,4.300099999999929,1.3698999999996886,4.3100000000004,0.3698999999996886,0 days 01:00:00.000000000,0.0
16,1.0,0.0,0.0,0.0,0.3698999999996886,0.6702000000000226,-1.3701000000000931,-1.5100999999999658,0 days 01:00:00.000000000,0.0
17,1.0,0.0,0.0,0.0,-1.5200999999997293,-4.790099999999711,-4.720000000000255,0.19000000000005457,0 days 01:00:00.000000000,0.0
18,1.0,0.0,0.0,0.0,0.2199999999997999,2.669999999999618,4.820099999999911,2.730199999999968,0 days 01:00:00.000000000,0.0
19,0.0,1.0,0.0,0.0,2.7202000000002045,3.1301000000003114,1.25,-0.6500999999998385,0 days 01:00:00.000000000,0.0
20,1.0,0.0,0.0,0.0,-0.6401000000000749,-0.43020000000024083,0.3401000000003478,2.9899999999997817,0 days 01:00:00.000000000,0.0
21,-7.0,-2.0,0.0,0.0,10.730000000000018,7.840099999999893,4.679900000000089,5.239900000000034,0 days 18:00:00.000000000,0.0
22,0.0,0.0,0.0,0.0,-2.540100000000166,-1.340099999999893,1.7699999999999818,-3.0797999999999774,0 days 01:00:00.000000000,0.0
23,1.0,0.0,0.0,0.0,-3.0399999999999636,-4.439899999999852,-8.519999999999982,-3.9701999999997497,0 days 01:00:00.000000000,0.0
24,1.0,0.0,0.0,0.0,-3.9899999999997817,0.11009999999987485,4.0099999999997635,3.120100000000093,0 days 01:00:00.000000000,0.0
25,1.0,0.0,0.0,0.0,3.120100000000093,0.2600000000002183,-0.08010000000012951,-3.3601000000003296,0 days 01:00:00.000000000,0.0
26,1.0,1.0,0.0,0.0,-3.3601000000003296,-5.060100000000148,-5.869799999999941,-4.63989999999967,0 days 01:00:00.000000000,0.0
27,0.0,0.0,0.0,0.0,-4.8297999999999774,-4.949900000000071,-5.210000000000036,-2.3999000000003434,0 days 01:00:00.000000000,0.0
28,-7.0,-2.0,0.0,0.0,3.5597999999999956,8.179900000000089,7.569800000000214,9.220000000000255,2 days 18:00:00.000000000,0.0
29,1.0,0.0,0.0,0.0,3.4702000000002045,4.300000000000182,4.320099999999911,3.2899999999999636,0 days 01:00:00.000000000,0.0
30,0.0,0.0,0.0,0.0,3.2797999999997955,3.760099999999966,4.399899999999889,4.789800000000014,0 days 01:00:00.000000000,0.0
31,1.0,0.0,0.0,0.0,4.7800000000002,-0.10010000000011132,3.900100000000293,-1.049800000000232,0 days 01:00:00.000000000,0.0
32,1.0,1.0,0.0,0.0,-1.069800000000214,-0.15999999999985448,-1.0399999999999636,1.9299000000000888,0 days 01:00:00.000000000,0.0
33,1.0,0.0,0.0,0.0,1.939900000000307,0.9299999999998363,2.2399999999997817,-1.209899999999834,0 days 01:00:00.000000000,0.0
34,0.0,0.0,0.0,0.0,-1.189900000000307,3.620100000000093,-0.11009999999987485,5.469900000000052,0 days 01:00:00.000000000,0.0
35,-4.0,-1.0,0.0,0.0,2.75,-2.620100000000093,-3.2200000000002547,-4.75,0 days 18:00:00.000000000,0.0
36,1.0,0.0,0.0,0.0,-1.9202000000000226,1.0199999999999818,2.3301000000001295,2.8698999999996886,0 days 01:00:00.000000000,0.0
37,1.0,0.0,0.0,0.0,2.7800999999999476,3.2899999999999636,3.9198999999998705,3.3000999999999294,0 days 01:00:00.000000000,0.0
38,1.0,1.0,0.0,0.0,3.25,3.8301000000001295,4.030099999999948,3.900100000000293,0 days 01:00:00.000000000,0.0
