"","x"
"0001-01-01",0.339010572028912
"0002-01-01",0.672808903703149
"0003-01-01",0.678277759332559
"0004-01-01",0.672526593683352
"0005-01-01",0.665050501189274
"0006-01-01",0.576734135036807
"0007-01-01",0.636782217885189
"0008-01-01",0.0238729209545136
"0009-01-01",0.270753737137235
"0010-01-01",0.582210581588613
"0011-01-01",-0.17887973686517
"0012-01-01",-0.457053724634385
"0013-01-01",-0.707320492878231
"0014-01-01",-0.719158142557186
"0015-01-01",-0.49880550286328
"0016-01-01",-0.48085181943001
"0017-01-01",-0.546146820049659
"0018-01-01",-0.614652113093966
"0019-01-01",-0.641249589577155
"0020-01-01",-0.710359832751048
"0021-01-01",-0.752750203324216
"0022-01-01",-0.756169686158673
"0023-01-01",-0.696425435208946
"0024-01-01",-0.67833880212112
"0025-01-01",-0.613306852281382
"0026-01-01",-0.672174883166801
"0027-01-01",-0.739816770610063
"0028-01-01",-0.753570573712958
"0029-01-01",-0.759491399069989
"0030-01-01",-0.727770486181142
"0031-01-01",-0.749723427657508
"0032-01-01",-0.762114033111248
"0033-01-01",-0.770836032422973
"0034-01-01",-0.774837189945159
"0035-01-01",-0.594700469015894
"0036-01-01",-0.63576747450051
"0037-01-01",-0.691950784908888
"0038-01-01",-0.726664475000509
"0039-01-01",-0.757137603899382
"0040-01-01",-0.733702387114037
"0041-01-01",-0.720852104140486
"0042-01-01",-0.531589117184573
"0043-01-01",-0.535753723689569
"0044-01-01",-0.623434697280392
"0045-01-01",-0.596049990448717
"0046-01-01",-0.603669003631647
"0047-01-01",-0.506892608965784
"0048-01-01",-0.330542517258911
"0049-01-01",-0.200223370579209
"0050-01-01",-0.21369235355849
"0051-01-01",-0.644056234006838
"0052-01-01",-0.616760648451341
"0053-01-01",-0.645780164693015
"0054-01-01",-0.720325341100684
"0055-01-01",-0.730422209403188
"0056-01-01",-0.721250337277415
"0057-01-01",-0.728564348687263
"0058-01-01",-0.763127463344043
"0059-01-01",-0.277789535402426
"0060-01-01",0.0870594531472881
"0061-01-01",0.378074507629809
"0062-01-01",0.445498103291781
"0063-01-01",0.461581179797975
"0064-01-01",0.204349801311701
"0065-01-01",-0.206412370865953
"0066-01-01",-0.365536309435755
"0067-01-01",-0.337807652069398
"0068-01-01",-0.678755135844656
"0069-01-01",-0.395598912212911
"0070-01-01",-0.086657067038306
"0071-01-01",0.197596525495894
"0072-01-01",0.0545359399987302
"0073-01-01",0.433047077309424
"0074-01-01",0.487606637632543
"0075-01-01",0.578778807301664
"0076-01-01",0.603167593948996
"0077-01-01",0.609471106603249
"0078-01-01",0.610223770742019
"0079-01-01",0.545604473113491
"0080-01-01",0.451901864235636
"0081-01-01",0.49006714948491
"0082-01-01",0.549182200379693
"0083-01-01",0.579013054654681
"0084-01-01",0.536278794745821
"0085-01-01",0.593632356997092
"0086-01-01",0.483925798938726
"0087-01-01",0.470935803974975
"0088-01-01",0.515981315384858
"0089-01-01",0.343029686500068
"0090-01-01",-0.40347787142258
"0091-01-01",-0.395944528304216
"0092-01-01",-0.613232208220667
"0093-01-01",-0.725032135261802
"0094-01-01",-0.783927112423434
"0095-01-01",-0.774866300738587
"0096-01-01",-0.750696305964013
"0097-01-01",-0.690489211599385
"0098-01-01",-0.688268430566261
"0099-01-01",-0.725243405545525
"0100-01-01",-0.731129284396196
"0101-01-01",-0.755543617219916
"0102-01-01",-0.763984344901142
"0103-01-01",-0.654797363286024
"0104-01-01",-0.723691855194167
"0105-01-01",-0.656603474293074
"0106-01-01",-0.621038569409366
"0107-01-01",-0.447332977979841
"0108-01-01",-0.506523354810489
"0109-01-01",-0.667767883012266
"0110-01-01",-0.758535148767429
"0111-01-01",-0.678085534038397
"0112-01-01",-0.496603747266423
"0113-01-01",-0.53124057485437
"0114-01-01",-0.552743563237158
"0115-01-01",-0.673218366351053
"0116-01-01",-0.69528997693948
"0117-01-01",0.082412886388318
"0118-01-01",0.42710417595564
"0119-01-01",0.574160624382911
"0120-01-01",0.591324503837001
"0121-01-01",0.617066252138323
"0122-01-01",0.580758831810697
"0123-01-01",0.58972537267146
"0124-01-01",0.584786050633401
"0125-01-01",-0.0814527506644367
"0126-01-01",-0.48260709761713
"0127-01-01",-0.681073425904412
"0128-01-01",-0.652860781106142
"0129-01-01",-0.659913537848482
"0130-01-01",-0.685272641910524
"0131-01-01",-0.692828741831902
"0132-01-01",-0.761041090484357
"0133-01-01",-0.753917134784762
"0134-01-01",-0.711431239783752
"0135-01-01",-0.697222461466879
"0136-01-01",-0.289190417638539
"0137-01-01",-0.122852279222834
"0138-01-01",-0.131514826538723
"0139-01-01",-0.229159130108338
"0140-01-01",-0.501193459202997
"0141-01-01",-0.624719774038016
"0142-01-01",-0.730770457216716
"0143-01-01",-0.781612184269158
"0144-01-01",-0.707843503311962
"0145-01-01",-0.746393601700284
"0146-01-01",-0.605138355819992
"0147-01-01",-0.285960263969768
"0148-01-01",-0.114417036452975
"0149-01-01",-0.250679428500502
"0150-01-01",-0.305331136395985
"0151-01-01",0.431048174003852
"0152-01-01",0.457339164882735
"0153-01-01",0.337535690755835
"0154-01-01",0.480279508518063
"0155-01-01",0.470988457326216
"0156-01-01",-0.503145560760982
"0157-01-01",-0.675113742588038
"0158-01-01",-0.760902680259523
"0159-01-01",-0.687900290489029
"0160-01-01",-0.731753581512206
"0161-01-01",-0.553664237980709
"0162-01-01",-0.697724737510487
"0163-01-01",-0.745591445788055
"0164-01-01",-0.568798761050382
"0165-01-01",-0.487358221098513
"0166-01-01",0.206771493231996
"0167-01-01",0.272018407708511
"0168-01-01",0.391905251922197
"0169-01-01",0.505783294915552
"0170-01-01",0.45603807476786
"0171-01-01",0.600409397282748
"0172-01-01",0.620188431915627
"0173-01-01",0.630294029069706
"0174-01-01",0.669996147685135
"0175-01-01",0.672237139287478
"0176-01-01",0.6490891136746
"0177-01-01",0.649226226694036
"0178-01-01",0.627979034612888
"0179-01-01",0.644464381735114
"0180-01-01",0.546555932067087
"0181-01-01",0.416117439918087
"0182-01-01",0.458047919608555
"0183-01-01",0.595764715913941
"0184-01-01",0.575450083892833
"0185-01-01",-0.576449068741083
"0186-01-01",-0.532836025731813
"0187-01-01",-0.529476974971382
"0188-01-01",-0.566653056117794
"0189-01-01",-0.609425646108813
"0190-01-01",-0.626548176422888
"0191-01-01",-0.56117754327761
"0192-01-01",-0.705396138515834
"0193-01-01",-0.569461546107822
"0194-01-01",-0.418391367799062
"0195-01-01",-0.659076171649699
"0196-01-01",-0.720778996615503
"0197-01-01",-0.763775795783847
