,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel
2017-02-10,2017-02-10,56.27,56.27,56.27,56.27,11.254000000000001,7.0,0.0,1.0,44.82,55.61000000000001,2.16,22.1,4.16,33.040000000000006
2017-02-13,2017-02-13,56.27,56.27,56.27,56.27,11.254000000000001,50.0,0.0,1.0,47.3,62.7,1.23,29.52,3.5000000000000004,35.34
2017-02-14,2017-02-14,56.27,56.27,56.27,56.27,11.254000000000001,0.0,0.0,1.0,42.90000000000001,54.78,1.86,28.08,4.130000000000001,31.92
2017-02-15,2017-02-15,55.5,55.79,55.5,55.79,11.158,5700.0,0.0,1.0,45.1,56.1,1.89,30.24,3.71,35.91
2017-02-16,2017-02-16,55.3,55.3,55.3,55.3,11.06,400.0,0.0,1.0,48.40000000000001,60.06,1.17,27.36,5.1800000000000015,36.48
2017-02-17,2017-02-17,55.3,55.3,55.3,55.3,11.06,0.0,0.0,1.0,49.50000000000001,50.16,1.41,25.92,3.5700000000000003,38.76
2017-02-21,2017-02-21,56.9,56.9,56.82,56.82,11.364,2550.0,0.0,1.0,51.62,64.99000000000001,1.47,25.9,3.850000000000001,39.65
2017-02-22,2017-02-22,55.79,55.79,55.53,55.68,11.136,6200.0,0.0,1.0,52.2,62.98,1.56,23.1,4.41,38.43
2017-02-23,2017-02-23,55.68,55.68,55.68,55.68,11.136,50.0,0.0,1.0,50.46,58.290000000000006,2.58,23.1,4.2,40.26
2017-02-24,2017-02-24,55.68,55.68,55.68,55.68,11.136,0.0,0.0,1.0,51.04,47.57,1.83,22.4,3.78,40.26
2017-02-27,2017-02-27,56.39,56.39,56.15,56.15,11.23,4100.0,0.0,1.0,46.44000000000001,69.0,1.38,20.15,4.69,35.99
2017-02-28,2017-02-28,55.4,55.4,55.4,55.4,11.08,800.0,0.0,1.0,45.36,60.72,1.38,20.15,3.22,37.21
2017-03-01,2017-03-01,55.4,55.4,55.4,55.4,11.08,0.0,0.0,1.0,45.90000000000001,60.03,2.34,58.5,4.130000000000001,33.55
2017-03-02,2017-03-02,55.4,55.4,55.4,55.4,11.08,1.0,0.0,1.0,45.36,62.1,1.65,55.25,3.5700000000000003,37.21
2017-03-03,2017-03-03,55.4,55.4,55.4,55.4,11.08,0.0,0.0,1.0,46.44000000000001,53.81999999999999,1.7999999999999998,53.95,3.71,37.21
2017-03-06,2017-03-06,55.4,55.4,55.4,55.4,11.08,0.0,0.0,1.0,52.78,70.0,1.17,59.16,3.84,37.82
2017-03-07,2017-03-07,55.4,55.4,55.4,55.4,11.08,0.0,0.0,1.0,49.3,62.99999999999999,1.08,61.88,4.48,36.6
2017-03-08,2017-03-08,55.4,55.4,55.4,55.4,11.08,50.0,0.0,1.0,52.78,65.1,2.1,61.2,5.04,35.99
2017-03-09,2017-03-09,51.26,51.26,51.26,51.26,10.252,696.0,0.0,1.0,51.62,62.3,3.0,55.76000000000001,6.24,37.82
2017-03-10,2017-03-10,51.18,51.23,50.69,50.69,10.138,4602.0,0.0,1.0,51.62,52.5,2.28,53.040000000000006,6.72,39.65
2017-03-13,2017-03-13,50.35,50.35,50.35,50.35,10.07,1800.0,0.0,1.0,53.2,48.6,4.3500000000000005,58.56,5.04,39.0
2017-03-14,2017-03-14,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,49.28,46.2,4.55,56.73,8.0,36.0
2017-03-15,2017-03-15,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,49.28,48.6,3.8,47.58,4.8,36.0
2017-03-16,2017-03-16,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,50.40000000000001,43.2,4.3500000000000005,52.46,5.2,34.8
2017-03-17,2017-03-17,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,48.72000000000001,42.0,2.45,45.75,4.72,39.6
2017-03-20,2017-03-20,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,52.08000000000001,55.9,2.92,54.4,3.78,40.87000000000001
2017-03-21,2017-03-21,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,50.40000000000001,59.15,2.64,50.56,3.43,42.88
2017-03-22,2017-03-22,50.35,50.35,50.35,50.35,10.07,2.0,0.0,1.0,48.72000000000001,55.9,2.8000000000000003,54.4,5.6000000000000005,44.89
2017-03-23,2017-03-23,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,48.72000000000001,56.55,2.44,64.0,4.41,52.93
2017-03-24,2017-03-24,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,48.16,52.0,1.6,56.32,3.71,56.95
2017-03-27,2017-03-27,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,51.3,62.56,2.28,53.12000000000001,3.5700000000000003,46.23
2017-03-28,2017-03-28,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,51.87,59.16,2.4,50.56,4.62,44.22000000000001
2017-03-29,2017-03-29,50.35,50.35,50.35,50.35,10.07,0.0,0.0,1.0,49.59,57.8,2.52,53.12000000000001,4.48,42.88
2017-03-30,2017-03-30,51.71,51.72,51.71,51.72,10.344000000000001,3200.0,0.0,1.0,47.31,56.44000000000001,2.0,50.56,4.9,44.89
2017-03-31,2017-03-31,51.66,51.67,51.66,51.66,10.332,5600.0,0.0,1.0,51.3,51.00000000000001,1.84,50.56,4.340000000000002,46.90000000000001
2017-04-03,2017-04-03,51.66,51.66,51.66,51.66,10.332,0.0,0.0,1.0,45.36000000000001,62.08,2.52,50.84,6.16,41.54
2017-04-04,2017-04-04,51.66,51.66,51.66,51.66,10.332,0.0,0.0,1.0,43.12000000000001,62.72,2.96,59.52,6.08,39.68
2017-04-05,2017-04-05,53.23,53.29,53.23,53.29,10.658,7201.0,0.0,1.0,43.68000000000001,58.24,3.36,52.08,5.6000000000000005,38.44
2017-04-06,2017-04-06,53.29,53.29,53.29,53.29,10.658,1.0,0.0,1.0,43.68000000000001,56.96,2.96,45.88,6.5600000000000005,42.16
