,dataset2_oil,cash,return
2018-01-03 00:00:00+00:00,0.0,3000.0,0.0
2018-01-04 00:00:00+00:00,0.0,3000.0,0.0
2018-01-05 00:00:00+00:00,0.0,3000.0,0.0
2018-01-08 00:00:00+00:00,0.0,3000.0,0.0
2018-01-09 00:00:00+00:00,0.0,3000.0,0.0
2018-01-10 00:00:00+00:00,0.0,3000.0,0.0
2018-01-11 00:00:00+00:00,0.0,3000.0,0.0
2018-01-12 00:00:00+00:00,0.0,3000.0,0.0
2018-01-16 00:00:00+00:00,0.0,3000.0,0.0
2018-01-17 00:00:00+00:00,0.0,3000.0,0.0
2018-01-18 00:00:00+00:00,0.0,3000.0,0.0
2018-01-19 00:00:00+00:00,-6246.78,9248.0,0.0004066666666666663
2018-01-22 00:00:00+00:00,-6246.78,9248.0,0.0
2018-01-23 00:00:00+00:00,-6246.78,9248.0,0.0
2018-01-24 00:00:00+00:00,-6246.78,9248.0,0.0
2018-01-25 00:00:00+00:00,-6448.999999999999,9248.0,-0.06737926576525521
2018-01-26 00:00:00+00:00,-6526.26,9248.0,-0.027602715255448773
2018-01-29 00:00:00+00:00,-6430.99,9248.0,0.03500334344941125
2018-01-30 00:00:00+00:00,-6345.99,9248.0,0.030173836798591314
2018-01-31 00:00:00+00:00,-6377.0,9248.0,-0.010685697154730778
2018-02-01 00:00:00+00:00,-6377.0,9248.0,0.0
2018-02-02 00:00:00+00:00,-6374.78,9248.0,0.0007732497387671344
2018-02-05 00:00:00+00:00,-6288.0,9248.0,0.030203047451987652
2018-02-06 00:00:00+00:00,-6253.0,9248.0,0.011824324324324342
2018-02-07 00:00:00+00:00,0.0,3002.999999999999,0.002671118530884531
2018-02-08 00:00:00+00:00,0.0,3002.999999999999,0.0
2018-02-09 00:00:00+00:00,0.0,3002.999999999999,0.0
2018-02-12 00:00:00+00:00,0.0,3002.999999999999,0.0
2018-02-13 00:00:00+00:00,0.0,3002.999999999999,0.0
2018-02-14 00:00:00+00:00,0.0,3002.999999999999,0.0
2018-02-15 00:00:00+00:00,0.0,3002.999999999999,0.0
2018-02-16 00:00:00+00:00,0.0,3002.999999999999,0.0
2018-02-20 00:00:00+00:00,-6065.0,9068.0,2.220446049250313e-16
2018-02-21 00:00:00+00:00,-6094.92,9068.0,-0.009963369963369995
2018-02-22 00:00:00+00:00,-6205.0,9068.0,-0.037025576170166996
2018-02-23 00:00:00+00:00,0.0,2778.99,-0.02934334614041223
