"","x"
"1",0.610905021315052
"2",0.668319455376249
"3",0.686442802065261
"4",0.751192727044805
"5",0.377411843822553
"6",0.147605169852981
"7",0.751681282361468
"8",0.574207742301599
"9",0.32387753790986
"10",-0.716155411735734
"11",-0.81388810276634
"12",-0.645516601669452
"13",-0.474059769520603
"14",-0.167151781040524
"15",-0.252781698599174
"16",-0.444996978157126
"17",-0.204285144712157
"18",-0.0758220562032594
"19",-0.691711497204663
"20",-0.745437065285931
"21",-0.782775256384772
"22",0.224935947001659
"23",0.567515027675583
"24",-0.220165174180987
"25",0.672270675329176
"26",0.384908143211985
"27",0.739591731315028
"28",0.64194051603477
"29",0.719072329063602
"30",0.434086684162426
"31",-0.14388382247083
"32",-0.466834840009591
"33",0.639060801097209
"34",0.310833197187667
"35",-0.480523515312434
"36",0.354030370579224
"37",0.404713913306036
"38",0.69746792416258
"39",0.494110488166421
"40",0.435334340829967
"41",0.239328493148167
"42",-0.354965602986132
"43",-0.0951913912092003
"44",0.083356722272476
"45",-0.334946319168278
"46",-0.696842547371662
"47",0.0747318825619477
"48",0.605146838795152
"49",0.641336460874383
"50",-0.264347205446372
"51",-0.338375494528549
"52",0.600067479364321
"53",0.521949232344469
"54",0.195406645836363
"55",0.333569003232014
"56",-0.192850258750151
"57",0.322292086266205
"58",0.775374854469329
"59",0.703271429943917
"60",0.63520964973543
"61",0.678560327934131
"62",-0.381706337266232
"63",-0.707677920995834
"64",-0.653441729496082
"65",-0.652480503467884
"66",0.111576478836985
"67",-0.44499353489324
"68",-0.721390395449903
"69",-0.61292034704848
"70",-0.442575646019255
"71",-0.743606657025519
"72",-0.776379617502644
"73",-0.720399221336988
"74",-0.660426531770988
"75",0.128364128279715
"76",0.395302208382243
"77",0.645858050379153
"78",0.111777283777394
"79",-0.559896069143149
"80",0.576675027100227
"81",0.215431794219475
"82",-0.0207070919993318
"83",0.535418111744594
"84",0.63921244285558
"85",0.599491607956677
"86",0.642784162933481
"87",0.776948711557937
"88",0.720776058415873
"89",0.673801717677963
"90",0.7225932698229
"91",0.707200355539863
"92",0.222082112341144
"93",0.0775792769070774
"94",-0.264165889474842
"95",0.561720114817677
"96",0.516904122838987
"97",0.776493511363728
"98",0.569333217245839
"99",0.724821258835782
"100",0.718628869669872
"101",0.688883380890442
"102",0.58982102713075
"103",0.491673739315632
"104",0.719981049069708
"105",0.691187360684361
"106",0.573595050428196
"107",0.236864460182195
"108",0.180768485065018
"109",0.26190243325637
"110",0.584905506101706
"111",0.722800334444021
"112",0.742665287053716
"113",0.65182425743089
"114",0.633186973401623
"115",0.7006814040635
"116",0.320944563280968
"117",-0.422158545364131
"118",0.344911134524271
"119",-0.0306021426835388
"120",0.8003967982058
"121",0.792816581158211
"122",0.630846545899432
"123",0.713260296805071
"124",0.806146521579374
"125",0.799806988741945
"126",0.803381313021956
"127",0.759921376845531
"128",0.696228529851314
"129",0.811960627940381
"130",0.780070559302803
"131",0.77072703663752
"132",0.754420756776593
"133",0.783167347269366
"134",0.760116827412606
"135",0.771730743703385
"136",0.723299570952492
"137",0.742948684969559
"138",0.784767539503597
"139",0.781264704964335
"140",0.809664284935843
"141",0.6920339521181
"142",0.499766862389888
"143",0.758796468167247
"144",0.821785112010603
"145",0.811488901837377
"146",0.700339542274679
"147",0.727970934132874
"148",0.809627748793372
"149",0.821500202162498
"150",0.85414369365081
"151",0.843424123172617
"152",0.77473835797209
"153",0.781241872762453
"154",0.661214435009003
"155",0.786551891169967
"156",0.829563662477863
"157",0.830842662077303
"158",0.763666170252191
"159",0.831596599174001
"160",0.75424012142924
"161",0.719111014197224
"162",0.479493142645336
"163",0.657689501692111
"164",0.752230964443801
"165",0.396465959958051
"166",-0.0556882908539827
"167",-0.361204968161079
"168",-0.481136522010479
"169",0.617545613600375
"170",0.0605097021354274
"171",-0.360377470775273
"172",-0.499983935504665
"173",-0.512707694453455
"174",-0.617540031967876
"175",-0.763432741854964
"176",-0.792984192446438
"177",-0.711442851760041
"178",-0.704104449503027
"179",-0.613440018950608
"180",-0.690736454630955
"181",-0.217061544144239
"182",0.0601725443628313
"183",0.515650245699859
"184",0.588653956726361
"185",0.704450585885914
"186",0.517837705714709
"187",0.705540134845011
"188",0.490646059416202
"189",0.766908589832521
"190",0.807002566428592
"191",0.501179251862372
"192",0.683492093358376
"193",0.74496400594829
"194",0.784604405065143
"195",0.652970817141404
"196",0.712068721263106
"197",0.748956999936971
"198",0.837893036063284
"199",0.866282749355919
"200",0.792098363494735
"201",0.819128832664562
"202",0.841761631823012
"203",0.86719119449193
"204",0.863100353626075
"205",0.85080811589325
"206",0.629667870000181
"207",0.78812609496753
"208",0.843370546980448
